UE_ID,sat_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz
UE_014,LEO,1304.8,8.473,2.273,-85.564,0.0015,463.571,15.699,12.0,2719.4,4.35,0.0,0.0,42.96,1.43
UE_015,LEO,1770.7,6.351,3.851,-86.525,0.00141,577.499,19.805,11.0,-1767.1,5.9,0.0,0.0,48.48,1.78
UE_016,LEO,1829.9,7.599,2.699,-85.9,0.00182,492.987,24.2,12.0,-4523.5,6.1,0.0,0.0,44.45,1.52
UE_017,LEO,1423.9,8.112,2.112,-86.644,0.00151,452.724,15.493,10.0,-3412.5,4.75,0.0,0.0,42.39,1.39
UE_018,LEO,1087.3,9.823,6.723,-84.588,0.000101,816.274,12.249,1.7,3345.5,3.62,0.0,0.0,58.53,2.51
UE_019,LEO,881.2,11.22,6.52,-83.49,0.0001,798.201,6.875,0.4,3446.6,2.94,0.0,0.0,57.82,2.46
UE_000,LEO,1103.0,8.936,5.836,-85.332,0.000187,738.768,19.353,1.4,-3627.5,3.68,0.0,0.0,55.43,2.27
UE_001,LEO,885.2,11.987,7.687,-84.406,0.000171,903.673,15.901,2.6,3762.9,2.95,0.0,0.0,61.91,2.78
UE_002,LEO,819.7,11.356,6.056,-84.622,0.000154,757.662,15.465,2.8,-2332.1,2.73,0.0,0.0,56.2,2.33
UE_003,LEO,850.6,11.578,7.578,-83.711,0.000158,893.581,17.671,1.3,-2876.8,2.84,0.0,0.0,61.52,2.75
UE_004,LEO,1026.3,10.385,6.185,-85.807,0.000143,768.896,6.842,1.1,0.0,3.42,0.0,0.0,56.65,2.37
UE_005,LEO,1356.0,7.367,2.067,-86.617,0.0018,449.718,9.04,13.0,4159.3,4.52,0.0,0.0,42.23,1.38
UE_006,LEO,1797.7,7.781,5.581,-85.51,0.000128,717.027,14.985,2.4,-4620.1,5.99,0.0,0.0,54.53,2.21
UE_007,LEO,1787.1,7.508,2.308,-86.346,0.00179,465.948,20.914,6.0,2069.5,5.96,0.0,0.0,43.08,1.43
UE_008,LEO,1432.7,6.98,1.18,-85.71,0.00126,393.026,19.551,9.0,4291.3,4.78,0.0,0.0,39.13,1.21
UE_009,LEO,1073.7,8.801,6.601,-86.4,0.000154,805.382,7.158,1.3,4270.1,3.58,0.0,0.0,58.1,2.48
UE_010,LEO,870.1,10.511,5.811,-84.645,0.00013,736.605,6.801,1.3,-1387.5,2.9,0.0,0.0,55.34,2.27
UE_011,LEO,826.8,10.39,4.49,-85.605,0.00153,627.435,14.512,7.0,454.7,2.76,0.0,0.0,50.72,1.93
UE_012,LEO,864.4,11.359,8.559,-84.72,0.000121,985.227,16.763,0.6,134.5,2.88,0.0,0.0,64.96,3.03
UE_013,LEO,1017.6,9.039,5.439,-85.08,0.000157,705.122,6.784,1.1,3947.2,3.39,0.0,0.0,54.04,2.17
UE_014,LEO,1361.4,9.446,4.046,-84.777,0.00111,592.541,11.076,10.0,-3732.3,4.54,0.0,0.0,49.16,1.82
UE_015,LEO,1751.6,7.601,4.801,-86.8,0.00128,652.411,22.677,9.0,-2769.9,5.84,0.0,0.0,51.8,2.01
UE_016,LEO,1724.1,7.675,3.375,-85.663,0.00103,541.712,12.494,14.0,-4115.5,5.75,0.0,0.0,46.81,1.67
UE_017,LEO,1432.1,6.682,0.582,-86.359,0.00179,357.48,13.548,9.0,-2503.3,4.77,0.0,0.0,37.04,1.1
UE_018,LEO,1067.0,8.34,5.94,-86.33,0.00018,747.65,19.113,1.5,3370.2,3.56,0.0,0.0,55.79,2.3
UE_019,LEO,875.7,10.665,5.365,-84.668,0.000132,698.843,5.838,1.0,271.2,2.92,0.0,0.0,53.78,2.15
UE_000,LEO,1076.6,9.184,6.284,-86.108,0.000194,777.52,12.178,3.0,-1467.4,3.59,0.0,0.0,56.99,2.39
UE_001,LEO,886.8,11.374,7.274,-83.913,0.000112,865.846,17.912,2.1,2912.3,2.96,0.0,0.0,60.46,2.66
UE_002,LEO,810.7,12.841,6.741,-84.18,0.000153,817.828,12.405,2.6,3671.2,2.7,0.0,0.0,58.59,2.52
UE_003,LEO,857.9,11.814,8.914,-84.693,0.000143,1019.036,8.72,0.9,-3806.3,2.86,0.0,0.0,66.2,3.14
UE_004,LEO,1047.2,9.057,5.457,-86.471,0.00012,706.607,15.981,2.7,-3156.7,3.49,0.0,0.0,54.1,2.17
UE_005,LEO,1358.8,8.156,2.856,-85.922,0.00191,504.087,15.058,12.0,-1996.6,4.53,0.0,0.0,45.0,1.55
UE_006,LEO,1737.7,7.338,5.038,-86.531,0.000172,671.761,25.585,1.7,-1376.8,5.79,0.0,0.0,52.63,2.07
UE_007,LEO,1708.0,8.119,4.319,-86.641,0.00116,613.85,20.386,13.0,1452.7,5.69,0.0,0.0,50.12,1.89
UE_008,LEO,1368.3,7.819,2.519,-85.49,0.00161,480.45,17.122,8.0,-2416.7,4.56,0.0,0.0,43.82,1.48
UE_009,LEO,1041.2,8.593,4.793,-86.403,0.00149,651.787,14.941,12.0,-443.0,3.47,0.0,0.0,51.78,2.01
UE_010,LEO,873.5,12.183,8.083,-83.509,0.000142,940.394,5.823,1.8,-3670.1,2.91,0.0,0.0,63.29,2.89
UE_011,LEO,799.6,0.718,-5.982,-90.441,0.059,105.472,15.331,43.0,-1300.2,2.67,34.0,9.53,14.06,0.32
UE_012,LEO,862.2,9.578,5.878,-85.711,0.000143,742.333,14.748,3.0,-3777.3,2.87,0.0,0.0,55.57,2.28
UE_013,LEO,1045.8,10.265,4.965,-84.467,0.00165,665.791,19.972,9.0,-3002.1,3.49,0.0,0.0,52.38,2.05
UE_014,LEO,1372.5,8.403,1.803,-86.498,0.00121,432.376,16.15,7.0,-4506.8,4.57,0.0,0.0,41.31,1.33
UE_015,LEO,1730.6,5.857,3.157,-86.171,0.001,525.745,20.537,6.0,-3605.9,5.77,0.0,0.0,46.05,1.62
UE_016,LEO,1715.1,6.799,3.199,-87.3,0.00143,528.807,23.434,14.0,3988.5,5.72,0.0,0.0,46.2,1.63
UE_017,LEO,1407.2,8.373,1.473,-85.714,0.00171,411.21,11.381,9.0,952.9,4.69,0.0,0.0,40.15,1.27
UE_018,LEO,1060.6,8.977,6.777,-86.411,0.000117,821.058,16.071,0.9,3452.6,3.54,0.0,0.0,58.72,2.53
UE_019,LEO,870.8,11.805,8.005,-83.897,0.00015,933.189,5.805,2.5,-1324.9,2.9,0.0,0.0,63.02,2.87
UE_000,LEO,1031.4,8.253,4.453,-85.773,0.00175,624.487,17.876,11.0,-1093.0,3.44,0.0,0.0,50.59,1.92
UE_001,LEO,855.0,12.139,7.639,-83.53,0.000198,899.236,16.7,3.0,-3571.8,2.85,0.0,0.0,61.74,2.77
UE_002,LEO,826.6,11.992,6.892,-84.604,0.000136,831.37,14.511,0.5,3694.3,2.76,0.0,0.0,59.12,2.56
UE_003,LEO,877.8,11.248,7.248,-84.476,0.000167,863.423,5.852,1.1,1331.8,2.93,0.0,0.0,60.37,2.66
UE_004,LEO,1050.8,10.736,6.536,-84.132,0.000119,799.619,19.005,0.6,-2676.6,3.5,0.0,0.0,57.87,2.46
UE_005,LEO,1413.6,7.649,0.849,-87.075,0.00139,373.075,9.424,8.0,-2010.6,4.71,0.0,0.0,37.97,1.15
UE_006,LEO,1820.1,5.224,2.024,-86.688,0.00145,446.858,24.134,10.0,1771.2,6.07,0.0,0.0,42.08,1.37
UE_007,LEO,1697.7,7.547,2.747,-86.826,0.00171,496.365,15.318,11.0,3848.7,5.66,0.0,0.0,44.62,1.53
UE_008,LEO,1348.9,8.995,2.095,-86.303,0.00123,451.58,8.993,9.0,-2608.9,4.5,0.0,0.0,42.33,1.39
UE_009,LEO,1025.3,8.991,6.791,-86.004,0.000148,822.307,15.835,2.6,3648.8,3.42,0.0,0.0,58.77,2.53
UE_010,LEO,867.3,9.735,5.435,-84.833,0.000152,704.74,5.782,0.8,999.9,2.89,0.0,0.0,54.02,2.17
UE_011,LEO,818.0,1.881,-0.919,-88.76,0.059,278.01,6.453,53.0,1679.5,2.73,34.0,9.79,31.78,0.86
UE_012,LEO,873.8,12.28,8.98,-83.26,0.000182,1025.354,6.825,2.9,-3218.7,2.91,0.0,0.0,66.43,3.15
UE_013,LEO,1086.9,8.326,2.926,-86.437,0.00118,509.031,18.246,6.0,1186.4,3.62,0.0,0.0,45.24,1.57
UE_014,LEO,1432.7,8.68,3.48,-84.96,0.00172,549.539,9.551,12.0,-4571.4,4.78,0.0,0.0,47.18,1.69
UE_015,LEO,1804.9,6.562,2.562,-86.619,0.00185,483.431,17.033,9.0,1616.0,6.02,0.0,0.0,43.97,1.49
UE_016,LEO,1787.5,7.307,2.007,-87.147,0.00127,445.742,11.917,6.0,-3279.5,5.96,0.0,0.0,42.02,1.37
UE_017,LEO,1382.2,7.466,1.366,-86.367,0.00143,404.522,11.215,5.0,-4106.4,4.61,0.0,0.0,39.78,1.24
UE_018,LEO,1014.5,8.559,5.859,-85.42,0.000162,740.737,14.763,1.6,800.5,3.38,0.0,0.0,55.51,2.28
UE_019,LEO,850.1,10.082,5.382,-85.159,0.000113,700.274,10.668,1.6,-66.5,2.83,0.0,0.0,53.84,2.15
UE_000,LEO,1001.8,11.241,7.941,-84.179,0.000151,927.197,9.678,0.1,1894.6,3.34,0.0,0.0,62.79,2.85
UE_001,LEO,870.7,12.206,7.606,-83.397,0.000121,896.217,5.805,2.1,-3284.8,2.9,0.0,0.0,61.62,2.76
UE_002,LEO,821.3,12.341,7.041,-83.73,0.000133,844.729,16.476,0.5,129.5,2.74,0.0,0.0,59.64,2.6
UE_003,LEO,866.1,11.244,8.944,-84.378,0.000188,1021.925,18.774,1.1,-3082.7,2.89,0.0,0.0,66.31,3.14
UE_004,LEO,1062.4,10.067,4.667,-85.467,0.00179,641.557,9.083,12.0,-3660.3,3.54,0.0,0.0,51.33,1.97
UE_005,LEO,1496.3,6.36,0.36,-86.42,0.00173,344.838,9.975,11.0,161.5,4.99,0.0,0.0,36.26,1.06
UE_006,LEO,1827.8,5.404,2.404,-87.098,0.00131,472.532,12.186,6.0,4726.9,6.09,0.0,0.0,43.42,1.45
UE_007,LEO,1735.2,6.545,1.045,-87.028,0.00108,384.775,14.568,11.0,0.0,5.78,0.0,0.0,38.66,1.18
UE_008,LEO,1337.6,9.04,3.94,-84.58,0.00162,584.337,13.917,13.0,4540.4,4.46,0.0,0.0,48.79,1.8
UE_009,LEO,1003.1,8.633,5.833,-86.384,0.000126,738.458,14.687,0.1,-1150.9,3.34,0.0,0.0,55.41,2.27
UE_010,LEO,837.8,9.79,5.49,-86.005,0.000139,709.408,13.586,2.7,263.0,2.79,0.0,0.0,54.22,2.18
UE_011,LEO,821.6,0.594,-3.206,-90.103,0.095,183.181,17.478,45.0,-960.9,2.74,34.0,9.84,23.78,0.56
UE_012,LEO,882.8,11.006,8.006,-83.897,0.000119,933.248,5.885,2.3,2406.1,2.94,0.0,0.0,63.02,2.87
UE_013,LEO,1119.7,8.545,4.045,-85.227,0.00153,592.48,9.465,12.0,75.8,3.73,0.0,0.0,49.16,1.82
UE_014,LEO,1443.0,8.344,2.444,-86.828,0.00114,475.227,9.62,7.0,-3902.6,4.81,0.0,0.0,43.55,1.46
UE_015,LEO,1752.1,7.3,4.5,-86.15,0.00189,628.175,11.681,10.0,4399.6,5.84,0.0,0.0,50.75,1.93
UE_016,LEO,1715.7,5.997,0.997,-87.101,0.00133,381.931,11.438,5.0,-573.2,5.72,0.0,0.0,38.49,1.18
UE_017,LEO,1304.0,7.876,1.376,-86.462,0.00123,405.164,21.693,10.0,-3250.1,4.35,0.0,0.0,39.82,1.25
UE_018,LEO,1006.8,9.209,6.909,-86.096,0.00016,832.835,17.712,2.5,-437.1,3.36,0.0,0.0,59.18,2.56
UE_019,LEO,852.8,12.358,7.358,-83.821,0.000135,873.494,15.686,1.6,-1116.5,2.84,0.0,0.0,60.75,2.69
UE_000,LEO,996.6,11.375,9.275,-84.913,0.000114,1053.695,9.644,3.0,-3803.9,3.32,0.0,0.0,67.46,3.24
UE_001,LEO,842.8,10.846,6.546,-85.177,0.000119,800.532,15.619,2.5,3279.2,2.81,0.0,0.0,57.91,2.46
UE_002,LEO,816.7,12.584,6.784,-83.908,0.000127,821.708,7.445,0.3,-3291.8,2.72,0.0,0.0,58.75,2.53
UE_003,LEO,891.0,9.94,6.44,-85.03,0.000159,791.222,5.94,0.7,-3590.6,2.97,0.0,0.0,57.54,2.43
UE_004,LEO,1131.5,8.282,3.982,-85.659,0.00111,587.624,7.544,10.0,-4336.1,3.77,0.0,0.0,48.94,1.81
UE_005,LEO,1452.4,7.51,1.71,-86.845,0.00198,426.361,12.683,13.0,4029.0,4.84,0.0,0.0,40.99,1.31
UE_006,LEO,1740.1,7.932,3.932,-85.734,0.00113,583.707,16.601,8.0,-4078.6,5.8,0.0,0.0,48.76,1.8
UE_007,LEO,1695.5,6.053,1.253,-86.173,0.00104,397.512,16.304,14.0,-409.4,5.65,0.0,0.0,39.39,1.22
UE_008,LEO,1333.9,8.054,2.354,-85.973,0.0017,469.107,8.893,11.0,4384.1,4.45,0.0,0.0,43.24,1.44
UE_009,LEO,1009.7,10.09,6.49,-84.755,0.00015,795.574,6.731,2.4,-3550.8,3.37,0.0,0.0,57.71,2.45
UE_010,LEO,837.7,12.092,8.492,-84.154,0.000111,978.862,7.584,1.2,-1533.1,2.79,0.0,0.0,64.72,3.01
UE_011,LEO,811.5,0.335,-3.565,-90.732,0.028,170.996,15.41,31.0,1668.3,2.7,34.0,9.7,22.52,0.53
UE_012,LEO,880.2,11.828,9.328,-84.286,0.000161,1058.8,13.868,2.6,1461.2,2.93,0.0,0.0,67.65,3.26
UE_013,LEO,1103.7,8.732,4.032,-86.434,0.00166,591.464,15.358,11.0,4315.7,3.68,0.0,0.0,49.11,1.82
UE_014,LEO,1452.3,8.611,3.411,-85.295,0.00148,544.368,11.682,5.0,-3082.4,4.84,0.0,0.0,46.94,1.67
UE_015,LEO,1782.5,7.02,3.52,-87.19,0.00159,552.502,17.883,13.0,-82.4,5.94,0.0,0.0,47.32,1.7
UE_016,LEO,1744.5,6.72,3.12,-85.84,0.0018,523.025,13.63,7.0,-3712.1,5.81,0.0,0.0,45.92,1.61
UE_017,LEO,1324.3,9.393,3.593,-85.203,0.00145,557.979,12.829,6.0,1697.8,4.41,0.0,0.0,47.58,1.72
UE_018,LEO,1004.1,10.526,7.326,-84.137,0.000157,870.568,6.694,2.4,4161.3,3.35,0.0,0.0,60.64,2.68
UE_019,LEO,832.6,10.137,5.137,-85.131,0.000137,679.933,7.551,0.7,-2874.2,2.78,0.0,0.0,52.98,2.09
UE_000,LEO,991.8,8.507,4.507,-84.947,0.00169,628.736,6.612,7.0,-2077.5,3.31,0.0,0.0,50.77,1.93
UE_001,LEO,829.3,10.968,5.468,-84.216,0.00018,707.486,10.529,1.2,-3612.8,2.76,0.0,0.0,54.14,2.18
UE_002,LEO,804.3,10.002,4.402,-84.399,0.00122,620.459,19.362,8.0,2039.2,2.68,0.0,0.0,50.41,1.91
UE_003,LEO,901.2,11.959,9.459,-83.22,0.000189,1071.551,19.008,2.0,3241.7,3.0,0.0,0.0,68.11,3.3
UE_004,LEO,1106.5,10.217,5.617,-83.992,0.000193,720.076,21.377,2.0,1691.8,3.69,0.0,0.0,54.66,2.22
UE_005,LEO,1480.7,9.113,2.713,-84.844,0.00124,493.949,14.871,5.0,2907.5,4.94,0.0,0.0,44.49,1.52
UE_006,LEO,1863.8,5.216,1.816,-87.892,0.00147,433.177,12.425,10.0,-330.4,6.21,0.0,0.0,41.35,1.33
UE_007,LEO,1709.9,5.814,0.714,-87.593,0.00104,365.097,12.399,8.0,-4112.2,5.7,0.0,0.0,37.5,1.12
UE_008,LEO,1305.6,8.27,1.77,-86.365,0.0014,430.215,8.704,11.0,3656.1,4.35,0.0,0.0,41.19,1.32
UE_009,LEO,984.2,9.357,6.357,-84.721,0.000122,783.927,6.561,2.0,1879.9,3.28,0.0,0.0,57.25,2.41
UE_010,LEO,853.7,12.451,7.551,-84.075,0.000187,891.128,11.691,2.5,-3240.9,2.85,0.0,0.0,61.43,2.74
UE_011,LEO,804.9,11.096,8.396,-84.352,0.000121,969.827,8.366,2.9,2914.4,2.68,0.0,0.0,64.39,2.98
UE_012,LEO,886.7,10.674,7.374,-84.363,0.000129,874.977,16.911,1.6,-1014.3,2.96,0.0,0.0,60.81,2.69
UE_013,LEO,1108.0,9.709,6.009,-85.946,0.000181,753.584,7.387,2.9,4331.0,3.69,0.0,0.0,56.03,2.32
UE_014,LEO,1520.6,8.28,2.58,-85.56,0.00176,484.648,23.137,14.0,-2725.9,5.07,0.0,0.0,44.03,1.49
UE_015,LEO,1758.0,8.184,4.984,-85.308,0.00183,667.324,21.72,11.0,-1456.7,5.86,0.0,0.0,52.44,2.05
UE_016,LEO,1659.3,8.055,3.455,-85.872,0.00186,547.687,11.062,5.0,1526.0,5.53,0.0,0.0,47.09,1.69
UE_017,LEO,1312.0,8.944,3.044,-85.428,0.00116,517.508,20.746,6.0,1911.8,4.37,0.0,0.0,45.65,1.59
UE_018,LEO,976.7,10.508,6.808,-84.646,0.000176,823.785,20.512,2.5,-3852.6,3.26,0.0,0.0,58.83,2.53
UE_019,LEO,831.6,12.646,7.346,-84.177,0.000171,872.41,7.544,1.3,-2459.2,2.77,0.0,0.0,60.71,2.68
UE_000,LEO,987.3,10.936,7.836,-84.432,0.000144,917.476,18.582,0.9,-4146.8,3.29,0.0,0.0,62.43,2.82
UE_001,LEO,846.8,11.411,7.211,-84.195,0.000116,860.094,5.645,2.8,3670.0,2.82,0.0,0.0,60.24,2.65
UE_002,LEO,824.9,12.708,5.908,-82.846,0.000187,744.91,5.499,0.4,-3318.7,2.75,0.0,0.0,55.68,2.29
UE_003,LEO,897.3,11.19,8.09,-84.705,0.000107,941.034,9.982,0.9,-344.0,2.99,0.0,0.0,63.31,2.9
UE_004,LEO,1153.0,9.271,4.771,-86.064,0.00131,650.003,10.687,8.0,2818.1,3.84,0.0,0.0,51.7,2.0
UE_005,LEO,1503.5,8.636,2.136,-86.682,0.00176,454.338,19.024,9.0,4492.7,5.01,0.0,0.0,42.48,1.4
UE_006,LEO,1795.2,8.187,4.687,-86.906,0.00172,643.206,15.968,14.0,-3771.7,5.98,0.0,0.0,51.4,1.98
UE_007,LEO,1631.8,6.535,2.335,-86.132,0.00188,467.804,23.879,8.0,0.0,5.44,0.0,0.0,43.17,1.44
UE_008,LEO,1255.4,7.385,1.085,-86.707,0.00178,387.225,14.369,5.0,312.6,4.18,0.0,0.0,38.8,1.19
UE_009,LEO,964.6,9.291,7.191,-84.454,0.00014,858.304,6.43,1.1,-3901.8,3.22,0.0,0.0,60.17,2.64
UE_010,LEO,849.8,10.785,7.185,-83.708,0.000188,857.743,5.665,2.5,-2448.4,2.83,0.0,0.0,60.15,2.64
UE_011,LEO,821.4,12.04,6.84,-84.98,0.000112,826.714,7.476,1.9,-3391.0,2.74,0.0,0.0,58.94,2.54
UE_012,LEO,925.6,11.872,8.472,-83.464,0.000117,976.967,16.171,2.7,3407.2,3.09,0.0,0.0,64.65,3.01
UE_013,LEO,1183.5,9.719,4.519,-84.641,0.00118,629.727,9.89,14.0,4383.1,3.95,0.0,0.0,50.82,1.94
UE_014,LEO,1570.9,7.22,1.22,-86.69,0.00149,395.439,15.472,7.0,4186.0,5.24,0.0,0.0,39.27,1.22
UE_015,LEO,1817.2,7.131,3.831,-86.234,0.00125,576.007,25.115,9.0,-2845.1,6.06,0.0,0.0,48.41,1.77
UE_016,LEO,1623.7,6.659,1.359,-86.17,0.00197,404.095,15.825,7.0,-1901.9,5.41,0.0,0.0,39.76,1.24
UE_017,LEO,1268.6,7.127,1.627,-86.237,0.0011,420.995,17.458,12.0,0.0,4.23,0.0,0.0,40.69,1.3
UE_018,LEO,983.7,10.461,6.761,-85.77,0.000187,819.603,8.558,2.0,-2927.4,3.28,0.0,0.0,58.66,2.52
UE_019,LEO,832.6,12.637,7.537,-83.681,0.000122,889.887,5.551,1.8,2698.9,2.78,0.0,0.0,61.38,2.74
UE_000,LEO,952.9,10.573,6.673,-84.413,0.000183,811.812,6.353,0.8,-4048.0,3.18,0.0,0.0,58.36,2.5
UE_001,LEO,828.1,11.378,6.378,-84.611,0.000166,785.786,5.521,1.6,-1979.8,2.76,0.0,0.0,57.32,2.42
UE_002,LEO,807.6,12.47,7.27,-83.965,0.000104,865.505,19.384,0.7,-3659.2,2.69,0.0,0.0,60.45,2.66
UE_003,LEO,906.7,11.316,8.716,-83.542,0.000141,1000.112,12.045,1.6,-1741.0,3.02,0.0,0.0,65.51,3.08
UE_004,LEO,1176.8,10.152,6.452,-84.024,0.000145,792.23,19.845,2.3,-307.6,3.92,0.0,0.0,57.58,2.44
UE_005,LEO,1606.9,6.409,0.209,-87.795,0.00151,336.438,15.713,14.0,-4652.5,5.36,0.0,0.0,35.73,1.04
UE_006,LEO,1753.4,6.496,3.196,-86.652,0.00176,528.57,12.69,11.0,-4161.3,5.84,0.0,0.0,46.19,1.63
UE_007,LEO,1671.3,7.621,3.121,-85.789,0.00149,523.136,18.142,13.0,4655.8,5.57,0.0,0.0,45.92,1.61
UE_008,LEO,1265.6,7.74,1.44,-86.03,0.00111,409.164,14.437,6.0,547.1,4.22,0.0,0.0,40.04,1.26
UE_009,LEO,942.1,9.051,5.851,-84.775,0.000115,740.036,6.28,2.0,-2660.3,3.14,0.0,0.0,55.48,2.28
UE_010,LEO,834.1,10.424,5.424,-85.588,0.000129,703.836,13.561,0.4,3077.5,2.78,0.0,0.0,53.98,2.17
UE_011,LEO,830.2,12.359,7.359,-84.321,0.000145,873.561,12.535,0.7,-3734.5,2.77,0.0,0.0,60.76,2.69
UE_012,LEO,935.9,9.696,6.596,-85.652,0.000186,804.943,6.239,2.5,211.5,3.12,0.0,0.0,58.09,2.48
UE_013,LEO,1181.7,9.528,4.928,-85.936,0.001,662.723,11.878,7.0,3175.4,3.94,0.0,0.0,52.25,2.04
UE_014,LEO,1583.1,6.382,0.482,-86.509,0.00146,351.733,15.554,8.0,-4077.3,5.28,0.0,0.0,36.69,1.08
UE_015,LEO,1773.9,8.042,4.542,-86.779,0.00184,631.579,17.826,6.0,4275.8,5.91,0.0,0.0,50.9,1.94
UE_016,LEO,1615.6,8.483,3.683,-86.358,0.00123,564.784,19.771,14.0,3472.9,5.39,0.0,0.0,47.89,1.74
UE_017,LEO,1234.7,9.178,3.278,-86.411,0.00168,534.574,8.231,6.0,3611.1,4.12,0.0,0.0,46.47,1.64
UE_018,LEO,962.4,9.006,5.706,-85.297,0.000128,727.685,18.416,0.3,3315.5,3.21,0.0,0.0,54.97,2.24
UE_019,LEO,828.1,10.078,5.778,-84.661,0.000199,733.812,5.521,1.6,3488.0,2.76,0.0,0.0,55.22,2.26
UE_000,LEO,957.8,10.739,8.139,-85.531,0.000144,945.623,9.385,0.2,-3842.1,3.19,0.0,0.0,63.49,2.91
UE_001,LEO,829.8,12.663,7.263,-83.168,0.000176,864.865,12.532,0.8,3736.7,2.77,0.0,0.0,60.42,2.66
UE_002,LEO,810.7,10.941,5.441,-84.93,0.000146,705.211,16.405,2.5,3511.5,2.7,0.0,0.0,54.04,2.17
UE_003,LEO,918.7,11.824,7.924,-83.988,0.000134,925.616,19.125,1.8,-3991.4,3.06,0.0,0.0,62.73,2.85
UE_004,LEO,1171.7,9.977,5.377,-85.212,0.000164,699.878,7.812,1.0,2830.9,3.91,0.0,0.0,53.82,2.15
UE_005,LEO,1557.6,7.261,1.861,-86.869,0.00174,436.152,10.384,5.0,4424.6,5.19,0.0,0.0,41.51,1.34
UE_006,LEO,1842.5,6.968,2.968,-87.116,0.00155,512.065,24.283,12.0,-4674.5,6.14,0.0,0.0,45.39,1.58
UE_007,LEO,1576.0,7.604,2.304,-87.098,0.00165,465.66,15.506,10.0,-809.1,5.25,0.0,0.0,43.06,1.43
UE_008,LEO,1197.0,8.054,1.554,-85.873,0.00193,416.341,9.98,14.0,-1442.0,3.99,0.0,0.0,40.44,1.28
UE_009,LEO,930.8,10.133,6.833,-84.633,0.00017,826.098,7.205,2.7,-351.2,3.1,0.0,0.0,58.92,2.54
UE_010,LEO,824.0,11.116,6.616,-84.042,0.000107,806.758,8.493,0.9,-3189.8,2.75,0.0,0.0,58.16,2.48
UE_011,LEO,816.2,10.989,5.589,-85.105,0.000133,717.74,5.441,0.5,0.0,2.72,0.0,0.0,54.56,2.21
UE_012,LEO,930.7,10.234,6.734,-84.083,0.000182,817.221,18.205,2.9,1574.4,3.1,0.0,0.0,58.57,2.51
UE_013,LEO,1176.6,9.853,4.853,-84.573,0.00113,656.643,19.844,12.0,3818.3,3.92,0.0,0.0,51.99,2.02
UE_014,LEO,1616.4,6.481,1.081,-86.56,0.00146,386.97,11.776,7.0,-1674.8,5.39,0.0,0.0,38.78,1.19
UE_015,LEO,1801.5,6.671,3.571,-87.665,0.00127,556.315,12.01,12.0,-4583.8,6.01,0.0,0.0,47.5,1.71
UE_016,LEO,1545.7,6.399,1.599,-86.501,0.00147,419.202,23.305,9.0,81.1,5.15,0.0,0.0,40.6,1.29
UE_017,LEO,1215.8,9.465,2.965,-85.668,0.0012,511.845,17.105,8.0,4229.2,4.05,0.0,0.0,45.38,1.57
