UE_ID,sat_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz
UE_000,LEO,1763.67,8.345,8.065,-81.202,0.00108572,938.78,12.01,1.65,381.1,5.8789,0.0,0.0,63.229,2.89
UE_001,LEO,1466.29,9.564,5.427,-81.342,0.00107403,704.064,10.05,17.0,139.4,4.8876,0.0,0.0,53.994,2.17
UE_002,LEO,1549.73,7.989,1.474,-82.452,0.01008564,411.273,11.19,34.72,-205.4,5.1658,0.0,0.0,40.158,1.27
UE_003,LEO,1270.82,10.515,6.269,-80.57,0.00103853,776.192,9.44,4.22,-1.9,4.2361,0.0,0.0,56.941,2.39
UE_004,LEO,2496.91,-15.175,-19.984,-92.53,0.10000514,4.682,17.13,16.54,-376.1,8.323,37.23,23.17,0.0,0.01
UE_005,LEO,1761.46,10.056,6.122,-81.931,0.0011382,763.385,12.73,1.74,162.1,5.8715,0.0,0.0,56.426,2.35
UE_006,LEO,1571.28,9.973,7.487,-80.498,0.00138527,885.245,10.9,8.0,-433.7,5.2376,0.0,0.0,61.204,2.72
UE_007,LEO,2540.24,0.294,-2.717,-85.621,0.10001762,200.889,17.65,13.36,-13.3,8.4675,17.97,9.3,25.489,0.62
UE_008,LEO,1615.39,7.357,0.856,-82.157,0.01008559,373.486,11.31,45.39,-87.0,5.3846,0.0,0.0,37.996,1.15
UE_009,LEO,1280.03,10.097,6.562,-82.74,0.00103573,801.956,9.39,4.47,-215.9,4.2668,0.0,0.0,57.967,2.47
UE_010,LEO,1420.41,8.939,6.028,-81.466,0.00110777,755.232,9.66,7.35,-106.6,4.7347,0.0,0.0,56.097,2.32
UE_011,LEO,2033.05,9.071,2.8,-79.076,0.01018434,500.089,13.67,53.08,-406.7,6.7768,0.0,0.0,44.799,1.54
UE_012,LEO,1544.7,11.318,9.147,-80.326,0.00104421,1041.344,10.72,1.95,-247.8,5.149,0.0,0.0,67.013,3.2
UE_013,LEO,2017.14,7.279,4.132,-83.153,0.01001147,599.195,13.65,43.67,-65.0,6.7238,0.0,0.0,49.461,1.84
UE_014,LEO,1534.16,10.06,5.925,-82.171,0.00103345,746.411,10.53,0.85,269.4,5.1139,0.0,0.0,55.738,2.3
UE_015,LEO,1642.65,9.495,4.882,-80.307,0.01012664,659.026,11.41,58.92,-446.4,5.4755,0.0,0.0,52.088,2.03
UE_016,LEO,2594.54,8.11,5.761,-83.272,0.00118437,732.349,17.56,1.42,205.7,8.6485,0.0,0.0,55.164,2.25
UE_017,LEO,2506.56,9.533,3.826,-80.789,0.01007746,575.604,17.08,13.52,-314.6,8.3552,0.0,0.0,48.39,1.77
UE_018,LEO,2367.24,6.398,3.338,-86.042,0.01010244,539.003,16.77,40.31,-441.3,7.8908,0.0,0.0,46.683,1.66
UE_019,LEO,1210.95,10.071,4.824,-79.332,0.01014301,654.25,8.74,55.7,-385.1,4.0365,0.0,0.0,51.883,2.01
UE_000,LEO,1388.01,9.095,6.226,-80.011,0.00114359,772.423,9.81,3.5,288.6,4.6267,0.0,0.0,56.79,2.38
UE_001,LEO,1581.29,9.781,6.691,-81.312,0.00100609,813.397,10.75,4.41,-271.9,5.271,0.0,0.0,58.419,2.5
UE_002,LEO,2087.93,8.331,3.993,-80.248,0.01012378,588.473,14.82,50.69,455.3,6.9598,0.0,0.0,48.977,1.81
UE_003,LEO,1329.22,13.165,8.213,-79.569,0.00105883,952.577,8.86,16.25,199.3,4.4307,0.0,0.0,63.745,2.93
UE_004,LEO,2279.57,-13.983,-17.775,-92.106,0.10004645,7.761,15.94,34.79,-348.9,7.5986,37.23,21.15,0.0,0.02
UE_005,LEO,1798.76,7.736,2.38,-81.18,0.01014526,470.885,12.87,53.81,27.4,5.9959,0.0,0.0,43.331,1.45
UE_006,LEO,1963.83,8.904,6.485,-82.178,0.00108768,795.167,13.24,0.98,-392.1,6.5461,0.0,0.0,57.698,2.45
UE_007,LEO,1378.42,5.862,2.473,-83.09,0.01001173,477.234,9.99,51.48,405.7,4.5947,17.97,5.05,43.655,1.47
UE_008,LEO,2458.49,9.601,4.009,-80.652,0.01002022,589.714,16.49,47.13,447.3,8.195,0.0,0.0,49.033,1.81
UE_009,LEO,2437.79,7.381,5.48,-81.484,0.00108135,708.499,16.41,0.54,256.1,8.126,0.0,0.0,54.179,2.18
UE_010,LEO,2501.83,7.656,4.587,-82.695,0.01009491,635.181,17.49,52.6,-347.5,8.3394,0.0,0.0,51.055,1.95
UE_011,LEO,1234.7,9.987,5.841,-81.278,0.00106131,739.142,9.16,14.98,-422.7,4.1157,0.0,0.0,55.442,2.27
UE_012,LEO,2323.13,7.986,5.582,-82.825,0.00120924,717.105,15.75,1.74,-347.1,7.7438,0.0,0.0,54.536,2.21
UE_013,LEO,2302.32,9.674,4.477,-80.392,0.01006671,626.412,16.21,17.01,289.0,7.6744,0.0,0.0,50.671,1.93
UE_014,LEO,2343.22,6.768,1.759,-84.706,0.01017704,429.509,16.42,17.29,113.7,7.8107,0.0,0.0,41.157,1.32
UE_015,LEO,1233.13,9.889,7.692,-80.442,0.00113579,904.157,9.09,0.53,397.3,4.1104,0.0,0.0,61.923,2.78
UE_016,LEO,2553.64,7.952,3.445,-82.495,0.0100232,546.92,17.42,57.98,455.0,8.5121,0.0,0.0,47.058,1.68
UE_017,LEO,1950.7,6.211,-0.196,-83.613,0.10002134,314.529,13.98,14.64,-169.4,6.5023,0.0,0.0,34.313,0.97
UE_018,LEO,2547.55,8.057,6.532,-81.114,0.00101599,799.343,17.42,0.59,460.4,8.4918,0.0,0.0,57.864,2.46
UE_019,LEO,2219.96,7.52,3.515,-82.923,0.01000482,552.131,15.31,25.8,422.8,7.3999,0.0,0.0,47.302,1.7
UE_000,LEO,2007.22,10.195,7.966,-80.41,0.00100889,929.486,13.38,2.35,455.5,6.6907,0.0,0.0,62.88,2.86
UE_001,LEO,2495.81,8.68,4.278,-81.436,0.01000126,610.675,17.38,41.21,-110.6,8.3194,0.0,0.0,49.975,1.88
UE_002,LEO,1709.91,9.006,3.233,-81.472,0.0100498,531.304,11.73,21.95,190.9,5.6997,0.0,0.0,46.317,1.63
UE_003,LEO,2387.22,9.941,7.901,-78.876,0.00107673,923.442,16.22,4.39,-452.8,7.9574,0.0,0.0,62.652,2.84
UE_004,LEO,1771.75,-7.879,-10.902,-91.392,0.1000784,36.623,11.94,27.7,259.2,5.9058,37.23,16.44,0.0,0.11
UE_005,LEO,2516.51,7.386,1.031,-81.274,0.01018101,383.952,17.39,21.25,-415.0,8.3884,0.0,0.0,38.609,1.18
UE_006,LEO,1967.11,5.486,2.849,-82.686,0.01009705,503.546,13.54,36.32,1.2,6.557,0.0,0.0,44.97,1.55
UE_007,LEO,2116.59,1.482,-1.041,-84.559,0.10001323,272.151,14.32,30.55,99.8,7.0553,17.97,7.75,31.355,0.84
UE_008,LEO,2461.65,7.571,2.288,-81.919,0.01010973,464.625,16.5,32.83,-442.6,8.2055,0.0,0.0,43.01,1.43
UE_009,LEO,2086.12,8.675,5.589,-81.387,0.00102787,717.705,14.66,3.16,393.1,6.9537,0.0,0.0,54.561,2.21
UE_010,LEO,2141.91,5.69,1.09,-83.15,0.0100047,387.543,14.3,18.22,452.1,7.1397,0.0,0.0,38.816,1.19
UE_011,LEO,1865.19,7.863,3.486,-83.136,0.01001424,549.988,12.85,39.01,-366.7,6.2173,0.0,0.0,47.202,1.69
UE_012,LEO,1472.21,9.664,7.178,-80.457,0.00111246,857.109,10.06,4.81,-414.8,4.9074,0.0,0.0,60.123,2.64
UE_013,LEO,2118.48,6.874,2.57,-82.321,0.01020474,483.945,14.89,10.76,15.9,7.0616,0.0,0.0,43.994,1.49
UE_014,LEO,1795.2,8.849,5.4,-81.406,0.00111532,701.815,12.49,4.12,403.0,5.984,0.0,0.0,53.9,2.16
UE_015,LEO,1270.31,9.822,7.794,-80.444,0.00113686,913.521,8.93,6.09,427.1,4.2344,0.0,0.0,62.278,2.81
UE_016,LEO,2321.98,7.192,2.85,-84.135,0.01014443,503.619,16.08,56.3,-400.0,7.7399,0.0,0.0,44.974,1.55
UE_017,LEO,2448.0,9.025,3.888,-81.287,0.01021709,580.371,16.82,49.85,-300.2,8.16,0.0,0.0,48.608,1.79
UE_018,LEO,1967.02,7.625,5.96,-81.206,0.00103307,749.374,13.59,14.93,-273.8,6.5567,0.0,0.0,55.859,2.31
UE_019,LEO,1562.87,6.668,2.612,-82.282,0.01000327,486.914,11.18,33.15,443.4,5.2096,0.0,0.0,44.143,1.5
UE_000,LEO,2077.45,5.076,1.987,-84.767,0.01006697,444.404,14.14,19.67,451.4,6.9248,0.0,0.0,41.953,1.37
UE_001,LEO,1647.59,9.556,4.616,-81.736,0.01010592,637.477,11.22,42.47,-111.5,5.492,0.0,0.0,51.156,1.96
UE_002,LEO,2188.99,7.921,3.876,-83.025,0.0100504,579.46,15.14,27.45,180.1,7.2966,0.0,0.0,48.567,1.78
UE_003,LEO,1489.57,8.635,4.843,-81.789,0.01010352,655.789,10.51,42.56,211.8,4.9652,0.0,0.0,51.949,2.02
UE_004,LEO,2399.42,-15.34,-20.538,-91.705,0.10000353,4.124,16.0,23.99,-459.0,7.9981,37.23,22.26,0.0,0.01
UE_005,LEO,2254.87,6.877,2.091,-82.674,0.0100221,451.359,15.45,45.37,-365.8,7.5162,0.0,0.0,42.32,1.39
UE_006,LEO,1964.59,9.281,7.038,-81.89,0.00105758,844.484,13.32,2.31,-274.8,6.5486,0.0,0.0,59.634,2.6
UE_007,LEO,1810.17,5.58,1.269,-83.837,0.01021921,398.505,12.75,26.83,81.9,6.0339,17.97,6.63,39.442,1.23
UE_008,LEO,1431.06,10.889,4.901,-80.527,0.01009686,660.558,10.16,6.46,89.0,4.7702,0.0,0.0,52.154,2.03
UE_009,LEO,1751.63,7.31,4.389,-80.821,0.01024567,619.397,12.32,12.33,-177.1,5.8388,0.0,0.0,50.362,1.91
UE_010,LEO,1846.38,7.359,2.454,-82.508,0.01000478,475.958,12.52,22.65,140.5,6.1546,0.0,0.0,43.59,1.46
UE_011,LEO,2265.72,6.321,0.667,-83.613,0.01003508,362.37,15.94,18.62,316.5,7.5524,0.0,0.0,37.333,1.11
UE_012,LEO,1314.67,10.348,8.258,-79.771,0.00106536,956.837,9.76,3.45,52.3,4.3822,0.0,0.0,63.904,2.94
UE_013,LEO,1689.94,9.022,4.16,-79.966,0.01005389,601.417,11.92,45.73,-362.7,5.6331,0.0,0.0,49.561,1.85
UE_014,LEO,2529.46,6.053,0.863,-83.849,0.01013828,373.899,17.02,11.82,439.3,8.4315,0.0,0.0,38.021,1.15
UE_015,LEO,2137.24,9.477,8.387,-82.66,0.0010563,968.94,14.95,0.54,-179.1,7.1241,0.0,0.0,64.354,2.98
UE_016,LEO,2273.66,7.216,2.59,-82.774,0.01004135,485.331,15.91,11.18,399.7,7.5789,0.0,0.0,44.064,1.49
UE_017,LEO,2347.02,6.569,1.024,-85.218,0.01006846,383.53,15.67,21.85,-101.3,7.8234,0.0,0.0,38.584,1.18
UE_018,LEO,2148.29,8.658,5.573,-81.434,0.00102736,716.348,15.04,1.49,-119.0,7.161,0.0,0.0,54.504,2.2
UE_019,LEO,1306.4,10.803,5.826,-80.499,0.00107514,737.886,8.81,4.24,-400.2,4.3547,0.0,0.0,55.391,2.27
UE_000,LEO,2281.47,9.292,5.531,-81.918,0.0011002,712.798,15.33,2.77,-371.5,7.6049,0.0,0.0,54.357,2.19
UE_001,LEO,2577.38,5.119,1.168,-83.181,0.01009043,392.247,17.61,25.01,-453.2,8.5913,0.0,0.0,39.086,1.21
UE_002,LEO,1908.35,9.416,2.755,-81.358,0.0101211,496.909,13.54,10.7,381.2,6.3612,0.0,0.0,44.642,1.53
UE_003,LEO,2545.1,6.615,3.663,-83.553,0.01003846,563.237,17.67,28.52,-348.1,8.4837,0.0,0.0,47.82,1.73
UE_004,LEO,2227.31,-11.191,-15.768,-90.76,0.10011297,12.262,15.66,34.06,-98.8,7.4244,37.23,20.66,0.0,0.04
UE_005,LEO,1876.9,9.311,5.753,-83.816,0.00107969,731.634,12.78,2.15,178.4,6.2563,0.0,0.0,55.135,2.25
UE_006,LEO,2392.4,8.013,5.103,-81.505,0.00115801,677.096,16.83,9.22,-403.0,7.9747,0.0,0.0,52.86,2.08
UE_007,LEO,1541.41,4.145,-0.267,-84.415,0.10004326,310.809,10.66,6.55,97.3,5.138,17.97,5.64,34.066,0.96
UE_008,LEO,2391.33,8.352,2.931,-81.534,0.01020754,509.398,16.74,23.38,419.5,7.9711,0.0,0.0,45.257,1.57
UE_009,LEO,2432.45,9.02,5.694,-80.289,0.00104081,726.632,16.23,2.89,-440.0,8.1082,0.0,0.0,54.929,2.24
UE_010,LEO,2527.29,6.597,0.367,-81.65,0.01008435,345.204,17.34,45.94,236.9,8.4243,0.0,0.0,36.283,1.06
UE_011,LEO,2166.85,5.676,0.692,-83.401,0.01008231,363.816,15.24,10.02,-363.7,7.2228,0.0,0.0,37.42,1.12
UE_012,LEO,1510.23,10.709,7.804,-81.53,0.00102869,914.511,10.65,14.05,-412.1,5.0341,0.0,0.0,62.315,2.81
UE_013,LEO,1862.56,6.326,3.469,-82.499,0.01004153,548.73,13.16,22.86,-87.4,6.2085,0.0,0.0,47.143,1.69
UE_014,LEO,2184.0,8.971,6.242,-81.333,0.00102482,773.832,14.68,0.82,454.6,7.28,0.0,0.0,56.846,2.38
UE_015,LEO,1469.62,7.854,4.037,-80.563,0.0100402,591.831,10.56,15.0,299.9,4.8987,0.0,0.0,49.129,1.82
UE_016,LEO,1502.94,8.87,5.699,-80.278,0.00104446,727.08,11.0,0.81,43.7,5.0098,0.0,0.0,54.947,2.24
UE_017,LEO,1934.49,9.547,3.625,-80.357,0.01013556,560.388,13.09,17.28,444.5,6.4483,0.0,0.0,47.688,1.72
UE_018,LEO,1451.22,10.168,9.045,-81.69,0.00112447,1031.565,9.95,1.0,38.9,4.8374,0.0,0.0,66.657,3.17
UE_019,LEO,2564.01,7.83,4.666,-82.976,0.01023247,641.47,17.22,51.9,-152.3,8.5467,0.0,0.0,51.329,1.97
UE_000,LEO,1887.23,8.768,8.412,-81.819,0.00100469,971.278,13.05,10.28,-325.0,6.2908,0.0,0.0,64.44,2.99
UE_001,LEO,1816.66,8.797,5.523,-81.12,0.00102239,712.145,13.05,6.14,413.7,6.0555,0.0,0.0,54.33,2.19
UE_002,LEO,1868.82,8.907,2.767,-82.888,0.01018868,497.783,12.53,38.99,-407.1,6.2294,0.0,0.0,44.685,1.53
UE_003,LEO,1275.05,10.452,7.552,-80.864,0.00107811,891.249,8.8,0.6,344.5,4.2502,0.0,0.0,61.433,2.74
UE_004,LEO,2591.49,-16.412,-19.318,-95.898,0.10015296,5.454,17.88,47.7,313.7,8.6383,37.23,24.04,0.0,0.02
UE_005,LEO,1515.96,9.117,3.69,-82.454,0.01016549,565.271,10.55,51.45,-62.4,5.0532,0.0,0.0,47.914,1.74
UE_006,LEO,2586.04,8.787,5.86,-82.897,0.00112951,740.827,17.85,6.69,435.2,8.6201,0.0,0.0,55.511,2.28
UE_007,LEO,2236.13,-2.489,-6.75,-88.37,0.1000149,89.898,15.12,40.66,-148.5,7.4538,17.97,8.19,11.375,0.28
UE_008,LEO,1419.88,9.638,3.319,-80.376,0.01001572,537.604,9.47,29.33,387.7,4.7329,0.0,0.0,46.617,1.65
UE_009,LEO,2031.34,9.87,5.025,-82.082,0.00105167,670.688,14.25,16.23,440.9,6.7711,0.0,0.0,52.587,2.06
UE_010,LEO,2184.18,7.618,2.512,-79.617,0.01000592,479.933,15.49,47.54,130.6,7.2806,0.0,0.0,43.792,1.48
UE_011,LEO,2075.08,8.201,3.177,-81.701,0.01001444,527.214,14.26,34.41,-387.5,6.9169,0.0,0.0,46.121,1.62
UE_012,LEO,2106.69,7.272,3.726,-82.397,0.01005434,567.977,14.12,13.96,-248.9,7.0223,0.0,0.0,48.039,1.75
UE_013,LEO,1630.66,7.978,4.085,-82.266,0.0101504,595.532,11.16,11.72,-446.0,5.4355,0.0,0.0,49.296,1.83
UE_014,LEO,2164.15,4.073,0.165,-82.717,0.01020734,333.978,14.93,31.66,-435.6,7.2138,0.0,0.0,35.577,1.03
UE_015,LEO,1312.62,9.514,6.143,-82.65,0.00107778,765.197,9.07,5.16,106.6,4.3754,0.0,0.0,56.499,2.35
UE_016,LEO,1550.52,8.714,4.644,-81.158,0.01007727,639.755,11.17,36.06,240.5,5.1684,0.0,0.0,51.255,1.97
UE_017,LEO,2531.1,7.474,2.504,-82.968,0.01007283,479.369,17.14,7.17,-1.2,8.437,0.0,0.0,43.763,1.47
UE_018,LEO,2258.78,8.07,4.94,-81.464,0.01010533,663.709,15.97,14.8,84.7,7.5293,0.0,0.0,52.289,2.04
UE_019,LEO,2019.46,7.742,3.513,-81.315,0.01009404,551.98,13.55,23.79,-341.6,6.7315,0.0,0.0,47.295,1.7
UE_000,LEO,1666.63,9.312,6.565,-79.698,0.00110071,802.205,11.44,1.15,-392.1,5.5554,0.0,0.0,57.977,2.47
UE_001,LEO,2171.14,8.93,4.62,-81.209,0.01012511,637.808,15.29,34.71,445.2,7.2371,0.0,0.0,51.17,1.96
UE_002,LEO,1836.76,9.979,4.794,-81.533,0.0101049,651.881,13.22,26.83,415.4,6.1225,0.0,0.0,51.781,2.01
UE_003,LEO,1920.43,7.38,2.972,-83.867,0.0100606,512.342,13.35,27.32,-33.9,6.4014,0.0,0.0,45.401,1.58
UE_004,LEO,1462.62,-5.978,-8.223,-91.071,0.10016965,65.761,10.38,46.04,335.1,4.8754,37.23,13.57,6.22,0.2
UE_005,LEO,1484.98,9.761,4.664,-81.664,0.01003991,641.371,10.34,42.71,-133.9,4.9499,0.0,0.0,51.325,1.97
UE_006,LEO,1370.0,9.761,7.864,-81.005,0.00101503,920.069,9.37,2.77,-72.9,4.5667,0.0,0.0,62.525,2.83
UE_007,LEO,1421.73,7.67,4.342,-82.788,0.01004181,615.698,9.57,58.58,-137.2,4.7391,17.97,5.21,50.198,1.89
UE_008,LEO,2478.1,5.731,0.831,-84.764,0.01005519,372.029,17.35,31.91,110.8,8.2603,0.0,0.0,37.91,1.14
UE_009,LEO,2203.24,11.004,8.722,-80.967,0.00105269,1000.657,15.52,0.1,-25.6,7.3441,0.0,0.0,65.525,3.08
UE_010,LEO,2572.34,7.95,4.932,-80.36,0.01010144,663.119,17.53,54.78,462.5,8.5745,0.0,0.0,52.264,2.04
UE_011,LEO,1911.54,5.691,-0.588,-83.779,0.10000261,294.324,13.02,47.66,-312.0,6.3718,0.0,0.0,32.941,0.91
UE_012,LEO,1780.92,9.482,5.757,-81.072,0.00107554,731.973,12.69,1.41,-180.9,5.9364,0.0,0.0,55.148,2.25
UE_013,LEO,1595.97,6.849,2.051,-81.234,0.01008838,448.664,11.64,31.44,424.2,5.3199,0.0,0.0,42.178,1.38
UE_014,LEO,1408.03,10.548,3.795,-78.645,0.01003046,573.239,9.94,34.35,-104.7,4.6934,0.0,0.0,48.282,1.76
UE_015,LEO,1837.48,8.735,5.914,-81.025,0.00115192,745.433,12.95,0.26,406.9,6.1249,0.0,0.0,55.699,2.29
UE_016,LEO,2000.52,12.139,8.043,-78.781,0.00107032,936.711,13.38,0.56,453.1,6.6684,0.0,0.0,63.151,2.88
UE_017,LEO,2242.59,8.213,2.878,-79.919,0.01000473,505.635,15.34,40.84,-441.3,7.4753,0.0,0.0,45.073,1.56
UE_018,LEO,2349.05,5.473,2.072,-82.764,0.01005326,450.088,15.7,32.12,-55.4,7.8302,0.0,0.0,42.253,1.38
UE_019,LEO,2026.25,6.626,3.555,-84.45,0.01011441,555.13,13.95,33.4,-333.0,6.7542,0.0,0.0,47.443,1.71
UE_000,LEO,1839.7,6.609,3.382,-81.631,0.01001196,542.264,12.92,13.34,-445.4,6.1323,0.0,0.0,46.838,1.67
UE_001,LEO,1857.29,9.779,6.397,-79.824,0.00110622,787.438,13.07,9.46,-87.0,6.191,0.0,0.0,57.39,2.42
UE_002,LEO,2109.77,8.023,1.362,-81.559,0.01002077,404.269,14.92,25.52,-367.1,7.0326,0.0,0.0,39.767,1.24
UE_003,LEO,1643.33,9.424,5.147,-82.369,0.00110532,680.742,11.83,12.91,-437.9,5.4778,0.0,0.0,53.014,2.09
UE_004,LEO,1250.26,0.373,-3.707,-86.279,0.10008865,166.352,9.26,58.86,177.3,4.1675,37.23,11.6,22.025,0.51
UE_005,LEO,2245.47,5.832,1.333,-84.127,0.01012779,402.429,15.6,52.12,185.2,7.4849,0.0,0.0,39.664,1.24
UE_006,LEO,1821.15,8.233,5.368,-81.471,0.00119297,699.094,12.19,7.82,-424.0,6.0705,0.0,0.0,53.786,2.15
UE_007,LEO,2314.6,0.925,-4.56,-85.27,0.10008896,140.681,15.58,33.68,443.2,7.7153,17.97,8.47,19.039,0.43
UE_008,LEO,1992.3,8.436,4.502,-82.299,0.01014093,628.345,13.36,52.03,-439.2,6.641,0.0,0.0,50.756,1.93
UE_009,LEO,2067.59,11.64,8.278,-80.625,0.00114534,958.665,13.93,2.74,456.0,6.892,0.0,0.0,63.972,2.95
UE_010,LEO,1845.61,7.267,4.061,-82.667,0.01008048,593.682,12.31,48.45,452.1,6.152,0.0,0.0,49.213,1.83
UE_011,LEO,2461.69,6.172,0.121,-84.848,0.01012074,331.577,16.85,23.66,-414.9,8.2056,0.0,0.0,35.423,1.02
UE_012,LEO,2022.6,6.657,4.34,-82.837,0.01008256,615.515,13.73,50.65,-349.4,6.742,0.0,0.0,50.19,1.89
UE_013,LEO,1478.9,12.927,8.263,-78.369,0.00116211,957.333,10.1,3.59,291.5,4.9297,0.0,0.0,63.922,2.95
