UE_ID,network_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UE_018,LEO,1060.6,8.977,6.777,-86.411,0.000117,821.058,16.071,0.9,3452.6,3.54,0.0,0.0,58.72,2.53,6.711810952177673,3.9318141345419195,0.6418538861723948
UE_019,LEO,870.8,11.805,8.005,-83.897,0.00015,933.189,5.805,2.5,-1324.9,2.9,0.0,0.0,63.02,2.87,6.8396787732181235,3.823908738049022,1.252762968495368
UE_000,LEO,1031.4,8.253,4.453,-85.773,0.00175,624.487,17.876,11.0,-1093.0,3.44,0.0,0.0,50.59,1.92,6.438530546317687,2.7569619510655374,2.4849066497880004
UE_001,LEO,855.0,12.139,7.639,-83.53,0.000198,899.236,16.7,3.0,-3571.8,2.85,0.0,0.0,61.74,2.77,6.802656951172295,3.7033348075450623,1.3862943611198906
UE_002,LEO,826.6,11.992,6.892,-84.604,0.000136,831.37,14.511,0.5,3694.3,2.76,0.0,0.0,59.12,2.56,6.7242770535048,3.8664610884364405,0.4054651081081644
UE_003,LEO,877.8,11.248,7.248,-84.476,0.000167,863.423,5.852,1.1,1331.8,2.93,0.0,0.0,60.37,2.66,6.762062232330571,3.777283526251851,0.7419373447293773
UE_004,LEO,1050.8,10.736,6.536,-84.132,0.000119,799.619,19.005,0.6,-2676.6,3.5,0.0,0.0,57.87,2.46,6.685385178477718,3.924453034957936,0.4700036292457356
UE_005,LEO,1413.6,7.649,0.849,-87.075,0.00139,373.075,9.424,8.0,-2010.6,4.71,0.0,0.0,37.97,1.15,5.924456312069483,2.856985199433463,2.1972245773362196
UE_006,LEO,1820.1,5.224,2.024,-86.688,0.00145,446.858,24.134,10.0,1771.2,6.07,0.0,0.0,42.08,1.37,6.104476217885474,2.838631997465512,2.3978952727983707
UE_007,LEO,1697.7,7.547,2.747,-86.826,0.00171,496.365,15.318,11.0,3848.7,5.66,0.0,0.0,44.62,1.53,6.209324162990814,2.7670038893538726,2.4849066497880004
UE_008,LEO,1348.9,8.995,2.095,-86.303,0.00123,451.58,8.993,9.0,-2608.9,4.5,0.0,0.0,42.33,1.39,6.114964543093595,2.9100948882075173,2.302585092994046
UE_009,LEO,1025.3,8.991,6.791,-86.004,0.000148,822.307,15.835,2.6,3648.8,3.42,0.0,0.0,58.77,2.53,6.713329156636752,3.8297382816706205,1.2809338454620645
UE_010,LEO,867.3,9.735,5.435,-84.833,0.000152,704.74,5.782,0.8,999.9,2.89,0.0,0.0,54.02,2.17,6.559246897709798,3.8181564091980267,0.5877866649021191
UE_011,LEO,818.0,1.881,-0.919,-88.76,0.059,278.01,6.453,53.0,1679.5,2.73,34.0,9.79,31.78,0.86,5.6312476234729525,1.229147988350495,3.9889840465642745
UE_012,LEO,873.8,12.28,8.98,-83.26,0.000182,1025.354,6.825,2.9,-3218.7,2.91,0.0,0.0,66.43,3.15,6.93376799546158,3.739928609628692,1.3609765531356006
UE_013,LEO,1086.9,8.326,2.926,-86.437,0.00118,509.031,18.246,6.0,1186.4,3.62,0.0,0.0,45.24,1.57,6.234471508184805,2.9281179923258285,1.9459101490553132
UE_014,LEO,1432.7,8.68,3.48,-84.96,0.00172,549.539,9.551,12.0,-4571.4,4.78,0.0,0.0,47.18,1.69,6.310897798340017,2.764471552839954,2.5649493574615367
UE_015,LEO,1804.9,6.562,2.562,-86.619,0.00185,483.431,17.033,9.0,1616.0,6.02,0.0,0.0,43.97,1.49,6.1829750063281805,2.7328282713622323,2.302585092994046
UE_016,LEO,1787.5,7.307,2.007,-87.147,0.00127,445.742,11.917,6.0,-3279.5,5.96,0.0,0.0,42.02,1.37,6.10198124677232,2.896196278702079,1.9459101490553132
UE_017,LEO,1382.2,7.466,1.366,-86.367,0.00143,404.522,11.215,5.0,-4106.4,4.61,0.0,0.0,39.78,1.24,6.005175126091171,2.8446639622312357,1.791759469228055
UE_018,LEO,1014.5,8.559,5.859,-85.42,0.000162,740.737,14.763,1.6,800.5,3.38,0.0,0.0,55.51,2.28,6.6089947328966865,3.790484982776539,0.9555114450274365
UE_019,LEO,850.1,10.082,5.382,-85.159,0.000113,700.274,10.668,1.6,-66.5,2.83,0.0,0.0,53.84,2.15,6.552898680850189,3.9469215526732664,0.9555114450274365
UE_000,LEO,1001.8,11.241,7.941,-84.179,0.000151,927.197,9.678,0.1,1894.6,3.34,0.0,0.0,62.79,2.85,6.833243994739797,3.8210230498307083,0.09531017980432487
UE_001,LEO,870.7,12.206,7.606,-83.397,0.000121,896.217,5.805,2.1,-3284.8,2.9,0.0,0.0,61.62,2.76,6.799297750304262,3.9172146260943395,1.1314021114911006
UE_002,LEO,821.3,12.341,7.041,-83.73,0.000133,844.729,16.476,0.5,129.5,2.74,0.0,0.0,59.64,2.6,6.740198977320032,3.8761483557675422,0.4054651081081644
UE_003,LEO,866.1,11.244,8.944,-84.378,0.000188,1021.925,18.774,1.1,-3082.7,2.89,0.0,0.0,66.31,3.14,6.930421449481049,3.725842148426243,0.7419373447293773
UE_004,LEO,1062.4,10.067,4.667,-85.467,0.00179,641.557,9.083,12.0,-3660.3,3.54,0.0,0.0,51.33,1.97,6.465455528787655,2.7471469687774843,2.5649493574615367
UE_005,LEO,1496.3,6.36,0.36,-86.42,0.00173,344.838,9.975,11.0,161.5,4.99,0.0,0.0,36.26,1.06,5.845970457321604,2.761953896620167,2.4849066497880004
UE_006,LEO,1827.8,5.404,2.404,-87.098,0.00131,472.532,12.186,6.0,4726.9,6.09,0.0,0.0,43.42,1.45,6.160219492179965,2.882728704012713,1.9459101490553132
UE_007,LEO,1735.2,6.545,1.045,-87.028,0.00108,384.775,14.568,11.0,0.0,5.78,0.0,0.0,38.66,1.18,5.955254297957269,2.966576244110926,2.4849066497880004
UE_008,LEO,1337.6,9.04,3.94,-84.58,0.00162,584.337,13.917,13.0,4540.4,4.46,0.0,0.0,48.79,1.8,6.372187749744234,2.790484985189286,2.639057329615259
UE_009,LEO,1003.1,8.633,5.833,-86.384,0.000126,738.458,14.687,0.1,-1150.9,3.34,0.0,0.0,55.41,2.27,6.6059174854061045,3.8996294514356555,0.09531017980432487
UE_010,LEO,837.8,9.79,5.49,-86.005,0.000139,709.408,13.586,2.7,263.0,2.79,0.0,0.0,54.22,2.18,6.565839452875814,3.8569851966214843,1.308332819650179
UE_011,LEO,821.6,0.594,-3.206,-90.103,0.095,183.181,17.478,45.0,-960.9,2.74,34.0,9.84,23.78,0.56,5.215918969749651,1.0222763947065807,3.828641396489095
UE_012,LEO,882.8,11.006,8.006,-83.897,0.000119,933.248,5.885,2.3,2406.1,2.94,0.0,0.0,63.02,2.87,6.839741927608686,3.924453034957936,1.1939224684724346
UE_013,LEO,1119.7,8.545,4.045,-85.227,0.00153,592.48,9.465,12.0,75.8,3.73,0.0,0.0,49.16,1.82,6.386003515082593,2.8153085688985486,2.5649493574615367
UE_014,LEO,1443.0,8.344,2.444,-86.828,0.00114,475.227,9.62,7.0,-3902.6,4.81,0.0,0.0,43.55,1.46,6.165894631311465,2.943095148282567,2.0794415416798357
UE_015,LEO,1752.1,7.3,4.5,-86.15,0.00189,628.175,11.681,10.0,4399.6,5.84,0.0,0.0,50.75,1.93,6.444409437400468,2.7235381955969706,2.3978952727983707
UE_016,LEO,1715.7,5.997,0.997,-87.101,0.00133,381.931,11.438,5.0,-573.2,5.72,0.0,0.0,38.49,1.18,5.947854816292523,2.876148358706377,1.791759469228055
UE_017,LEO,1304.0,7.876,1.376,-86.462,0.00123,405.164,21.693,10.0,-3250.1,4.35,0.0,0.0,39.82,1.25,6.006757018926276,2.9100948882075173,2.3978952727983707
UE_018,LEO,1006.8,9.209,6.909,-86.096,0.00016,832.835,17.712,2.5,-437.1,3.36,0.0,0.0,59.18,2.56,6.726035541058872,3.7958800146297347,1.252762968495368
UE_019,LEO,852.8,12.358,7.358,-83.821,0.000135,873.494,15.686,1.6,-1116.5,2.84,0.0,0.0,60.75,2.69,6.773645433371655,3.869666228287998,0.9555114450274365
UE_000,LEO,996.6,11.375,9.275,-84.913,0.000114,1053.695,9.644,3.0,-3803.9,3.32,0.0,0.0,67.46,3.24,6.961006904586776,3.9430951448539266,1.3862943611198906
UE_001,LEO,842.8,10.846,6.546,-85.177,0.000119,800.532,15.619,2.5,3279.2,2.81,0.0,0.0,57.91,2.46,6.686524896392982,3.924453034957936,1.252762968495368
UE_002,LEO,816.7,12.584,6.784,-83.908,0.000127,821.708,7.445,0.3,-3291.8,2.72,0.0,0.0,58.75,2.53,6.7126013382068574,3.8961962756244017,0.26236426446749106
UE_003,LEO,891.0,9.94,6.44,-85.03,0.000159,791.222,5.94,0.7,-3590.6,2.97,0.0,0.0,57.54,2.43,6.674841655567174,3.7986028729481367,0.5306282510621704
UE_004,LEO,1131.5,8.282,3.982,-85.659,0.00111,587.624,7.544,10.0,-4336.1,3.77,0.0,0.0,48.94,1.81,6.37778760968778,2.954677020822086,2.3978952727983707
UE_005,LEO,1452.4,7.51,1.71,-86.845,0.00198,426.361,12.683,13.0,4029.0,4.84,0.0,0.0,40.99,1.31,6.057629089306499,2.703334809519128,2.639057329615259
UE_006,LEO,1740.1,7.932,3.932,-85.734,0.00113,583.707,16.601,8.0,-4078.6,5.8,0.0,0.0,48.76,1.8,6.37111086706139,2.946921556132249,2.1972245773362196
UE_007,LEO,1695.5,6.053,1.253,-86.173,0.00104,397.512,16.304,14.0,-409.4,5.65,0.0,0.0,39.39,1.22,5.987737610700348,2.982966660283629,2.70805020110221
UE_008,LEO,1333.9,8.054,2.354,-85.973,0.0017,469.107,8.893,11.0,4384.1,4.45,0.0,0.0,43.24,1.44,6.152960328368064,2.7695510783662587,2.4849066497880004
UE_009,LEO,1009.7,10.09,6.49,-84.755,0.00015,795.574,6.731,2.4,-3550.8,3.37,0.0,0.0,57.71,2.45,6.680320031500353,3.823908738049022,1.2237754316221157
UE_010,LEO,837.7,12.092,8.492,-84.154,0.000111,978.862,7.584,1.2,-1533.1,2.79,0.0,0.0,64.72,3.01,6.887411745422537,3.9546770173007797,0.7884573603642702
UE_011,LEO,811.5,0.335,-3.565,-90.732,0.028,170.996,15.41,31.0,1668.3,2.7,34.0,9.7,22.52,0.53,5.147471220729079,1.5528419686422703,3.4657359027997265
UE_012,LEO,880.2,11.828,9.328,-84.286,0.000161,1058.8,13.868,2.6,1461.2,2.93,0.0,0.0,67.65,3.26,6.965835490058661,3.793174121270669,1.2809338454620645
UE_013,LEO,1103.7,8.732,4.032,-86.434,0.00166,591.464,15.358,11.0,4315.7,3.68,0.0,0.0,49.11,1.82,6.384290111669682,2.779891911698322,2.4849066497880004
UE_014,LEO,1452.3,8.611,3.411,-85.295,0.00148,544.368,11.682,5.0,-3082.4,4.84,0.0,0.0,46.94,1.67,6.301460796156268,2.8297382843116003,1.791759469228055
UE_015,LEO,1782.5,7.02,3.52,-87.19,0.00159,552.502,17.883,13.0,-82.4,5.94,0.0,0.0,47.32,1.7,6.31626536551163,2.798602875406407,2.639057329615259
UE_016,LEO,1744.5,6.72,3.12,-85.84,0.0018,523.025,13.63,7.0,-3712.1,5.81,0.0,0.0,45.92,1.61,6.261539393106624,2.7447274946554194,2.0794415416798357
UE_017,LEO,1324.3,9.393,3.593,-85.203,0.00145,557.979,12.829,6.0,1697.8,4.41,0.0,0.0,47.58,1.72,6.32611190536536,2.838631997465512,1.9459101490553132
UE_018,LEO,1004.1,10.526,7.326,-84.137,0.000157,870.568,6.694,2.4,4161.3,3.35,0.0,0.0,60.64,2.68,6.770293888307455,3.8041003448245596,1.2237754316221157
UE_019,LEO,832.6,10.137,5.137,-85.131,0.000137,679.933,7.551,0.7,-2874.2,2.78,0.0,0.0,52.98,2.09,6.523463916581077,3.8632794296735606,0.5306282510621704
UE_000,LEO,991.8,8.507,4.507,-84.947,0.00169,628.736,6.612,7.0,-2077.5,3.31,0.0,0.0,50.77,1.93,6.445300683941541,2.7721132951293477,2.0794415416798357
UE_001,LEO,829.3,10.968,5.468,-84.216,0.00018,707.486,10.529,1.2,-3612.8,2.76,0.0,0.0,54.14,2.18,6.563130298879045,3.7447274924839467,0.7884573603642702
UE_002,LEO,804.3,10.002,4.402,-84.399,0.00122,620.459,19.362,8.0,2039.2,2.68,0.0,0.0,50.41,1.91,6.432069939345886,2.913640168969273,2.1972245773362196
UE_003,LEO,901.2,11.959,9.459,-83.22,0.000189,1071.551,19.008,2.0,3241.7,3.0,0.0,0.0,68.11,3.3,6.977795202119142,3.7235381935289014,1.0986122886681096
UE_004,LEO,1106.5,10.217,5.617,-83.992,0.000193,720.076,21.377,2.0,1691.8,3.69,0.0,0.0,54.66,2.22,6.580744540883748,3.714442688741996,1.0986122886681096
UE_005,LEO,1480.7,9.113,2.713,-84.844,0.00124,493.949,14.871,5.0,2907.5,4.94,0.0,0.0,44.49,1.52,6.204454726957674,2.9065783144875272,1.791759469228055
UE_006,LEO,1863.8,5.216,1.816,-87.892,0.00147,433.177,12.425,10.0,-330.4,6.21,0.0,0.0,41.35,1.33,6.073452285060065,2.8326826649563857,2.3978952727983707
UE_007,LEO,1709.9,5.814,0.714,-87.593,0.00104,365.097,12.399,8.0,-4112.2,5.7,0.0,0.0,37.5,1.12,5.902898325610233,2.982966660283629,2.1972245773362196
UE_008,LEO,1305.6,8.27,1.77,-86.365,0.0014,430.215,8.704,11.0,3656.1,4.35,0.0,0.0,41.19,1.32,6.066606805631675,2.8538719640115517,2.4849066497880004
UE_009,LEO,984.2,9.357,6.357,-84.721,0.000122,783.927,6.561,2.0,1879.9,3.28,0.0,0.0,57.25,2.41,6.66559071982766,3.913640165765461,1.0986122886681096
UE_010,LEO,853.7,12.451,7.551,-84.075,0.000187,891.128,11.691,2.5,-3240.9,2.85,0.0,0.0,61.43,2.74,6.793609620043038,3.7281583911410707,1.252762968495368
UE_011,LEO,804.9,11.096,8.396,-84.352,0.000121,969.827,8.366,2.9,2914.4,2.68,0.0,0.0,64.39,2.98,6.878148285579417,3.9172146260943395,1.3609765531356006
UE_012,LEO,886.7,10.674,7.374,-84.363,0.000129,874.977,16.911,1.6,-1014.3,2.96,0.0,0.0,60.81,2.69,6.775339834883941,3.8894102863341273,0.9555114450274365
UE_013,LEO,1108.0,9.709,6.009,-85.946,0.000181,753.584,7.387,2.9,4331.0,3.69,0.0,0.0,56.03,2.32,6.626166604018907,3.7423214227313983,1.3609765531356006
UE_014,LEO,1520.6,8.28,2.58,-85.56,0.00176,484.648,23.137,14.0,-2725.9,5.07,0.0,0.0,44.03,1.49,6.185484081647746,2.754487331939092,2.70805020110221
UE_015,LEO,1758.0,8.184,4.984,-85.308,0.00183,667.324,21.72,11.0,-1456.7,5.86,0.0,0.0,52.44,2.05,6.5047730858877655,2.737548910032251,2.4849066497880004
UE_016,LEO,1659.3,8.055,3.455,-85.872,0.00186,547.687,11.062,5.0,1526.0,5.53,0.0,0.0,47.09,1.69,6.307528151420493,2.730487055548592,1.791759469228055
UE_017,LEO,1312.0,8.944,3.044,-85.428,0.00116,517.508,20.746,6.0,1911.8,4.37,0.0,0.0,45.65,1.59,6.250955456673023,2.93554201039869,1.9459101490553132
UE_018,LEO,976.7,10.508,6.808,-84.646,0.000176,823.785,20.512,2.5,-3852.6,3.26,0.0,0.0,58.83,2.53,6.715122746310414,3.754487329718268,1.252762968495368
UE_019,LEO,831.6,12.646,7.346,-84.177,0.000171,872.41,7.544,1.3,-2459.2,2.77,0.0,0.0,60.71,2.68,6.772405090493587,3.767003887068112,0.832909122935104
UE_000,LEO,987.3,10.936,7.836,-84.432,0.000144,917.476,18.582,0.9,-4146.8,3.29,0.0,0.0,62.43,2.82,6.822715774754734,3.8416375048888165,0.6418538861723948
UE_001,LEO,846.8,11.411,7.211,-84.195,0.000116,860.094,5.645,2.8,3670.0,2.82,0.0,0.0,60.24,2.65,6.758203673846001,3.935542007029164,1.33500106673234
UE_002,LEO,824.9,12.708,5.908,-82.846,0.000187,744.91,5.499,0.4,-3318.7,2.75,0.0,0.0,55.68,2.29,6.6146049494941215,3.7281583911410707,0.33647223662121295
UE_003,LEO,897.3,11.19,8.09,-84.705,0.000107,941.034,9.982,0.9,-344.0,2.99,0.0,0.0,63.31,2.9,6.848041367343271,3.9706162182559637,0.6418538861723948
