UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct,Area,Available_Networks
UE_010,2.0452,23.691,21.302,-57.124,1.031e-05,99.22,1.41,1.18,5.5,0.0068,0.0,0.0,100.0,7.09,311.0,12.21,UAV,4.607367769531579,4.986741292592869,0.7793248768009976,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_011,2.0389,24.422,19.799,-59.297,1.2e-05,92.289,1.62,0.1,-78.0,0.0068,0.0,0.0,100.0,6.59,491.7,10.29,UAV,4.535702201652903,4.92081871776117,0.09531017980432487,Desert,"UAV,HAPS,SAT (LEO)"
UE_012,1.5051,25.71,22.514,-56.333,1.456e-05,104.817,1.43,1.75,86.1,0.005,0.0,0.0,100.0,7.49,171.5,14.04,UAV,4.661711187045766,4.836838595195065,1.0116009116784799,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_013,2.1343,22.779,19.703,-57.637,8.96e-06,91.849,1.04,0.66,-62.0,0.0071,0.0,0.0,100.0,6.56,292.7,11.28,UAV,4.530974517681482,5.0476919418675115,0.5068176023684519,Maritime,"UAV,HAPS,SAT (LEO)"
UE_014,1.9878,24.9,22.464,-60.17,9.22e-06,104.588,1.04,0.1,93.1,0.0066,0.0,0.0,100.0,7.47,137.7,13.94,UAV,4.659544728451424,5.035269031842851,0.09531017980432487,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_015,2.2844,21.617,20.66,-58.288,1.19e-06,96.255,1.43,0.23,34.4,0.0076,0.0,0.0,100.0,6.88,202.6,16.43,UAV,4.577336395058655,5.924452673654277,0.20701416938432615,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_016,2.5326,25.066,21.548,-58.275,6.02e-06,100.355,1.21,2.12,64.4,0.0084,0.0,0.0,100.0,7.17,286.0,10.5,UAV,4.6186292056722476,5.2204034366002405,1.1378330018213911,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_017,0.8439,37.147,34.306,-51.169,4.15e-06,159.553,1.35,0.17,-58.8,0.0028,0.0,0.0,100.0,11.4,301.3,13.27,UAV,5.07862410612862,5.381951798638647,0.15700374880966478,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_018,2.1513,24.413,23.381,-58.496,4.28e-06,108.832,1.24,0.21,-43.2,0.0072,0.0,0.0,100.0,7.77,178.6,17.52,UAV,4.698951925595304,5.368556129516167,0.19062035960864973,Maritime,"UAV,HAPS,SAT (LEO)"
UE_019,1.4081,33.859,30.567,-55.726,4.46e-06,142.176,1.49,0.2,-39.5,0.0047,0.0,0.0,100.0,10.16,412.6,10.82,UAV,4.964074642715107,5.350665043912425,0.18232155679395465,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_000,1.7,25.798,22.996,-57.262,5.04e-06,107.047,1.6,0.59,6.9,0.0057,0.0,0.0,100.0,7.65,166.3,20.0,UAV,4.682566317643796,5.297569377384943,0.4637340162321401,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_001,2.0285,23.363,21.767,-58.337,1.774e-05,101.364,1.69,0.29,126.9,0.0068,0.0,0.0,100.0,7.24,222.5,17.81,UAV,4.628535088292824,4.7510463600232065,0.2546422183735807,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_002,1.6441,30.693,29.156,-54.846,4.02e-06,135.62,1.03,0.13,155.2,0.0055,0.0,0.0,100.0,9.69,430.4,19.5,UAV,4.917203349303703,5.39577383888209,0.12221763272424921,Desert,"UAV,HAPS,SAT (LEO)"
UE_003,1.3711,32.689,30.682,-52.888,1.25e-05,142.709,1.61,1.15,83.2,0.0046,0.0,0.0,100.0,10.19,472.7,11.52,UAV,4.967790421603939,4.903089952248386,0.7654678421395714,Desert,"UAV,HAPS,SAT (LEO)"
UE_004,1.0491,31.691,27.782,-52.752,1.502e-05,129.239,1.64,0.8,-54.1,0.0035,0.0,0.0,100.0,9.23,122.0,15.64,UAV,4.869371224092075,4.8233300384174385,0.5877866649021191,Maritime,"UAV,HAPS,SAT (LEO)"
UE_005,1.4582,26.324,22.401,-57.332,1.023e-05,104.295,1.56,0.17,-57.8,0.0049,0.0,0.0,100.0,7.45,359.3,17.67,UAV,4.656765934631742,4.990124323834813,0.15700374880966478,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_006,1.6668,26.633,24.129,-58.234,1.69e-06,112.297,1.75,0.83,47.6,0.0056,0.0,0.0,100.0,8.02,229.9,17.48,UAV,4.73001268930741,5.7721130384074195,0.6043159668533294,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_007,1.0151,35.595,31.68,-51.582,2.61e-06,147.349,1.03,0.12,-104.7,0.0034,0.0,0.0,100.0,10.52,418.6,19.65,UAV,4.999567605898473,5.5833593262653975,0.11332868530700317,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_008,0.555,38.86,34.537,-49.757,1.331e-05,160.63,1.87,1.36,51.1,0.0019,0.0,0.0,100.0,11.47,257.3,13.12,UAV,5.085309772421717,4.875821911896139,0.8586616190375187,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_009,1.5981,32.894,33.434,-53.877,3.06e-06,155.499,1.08,1.82,111.0,0.0053,0.0,0.0,100.0,11.11,490.9,13.97,UAV,5.053049620183435,5.514278431592142,1.0367368849500223,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_010,1.9471,25.523,23.305,-58.475,1.42e-05,108.478,1.1,1.04,7.6,0.0065,0.0,0.0,100.0,7.75,301.6,16.91,UAV,4.695723615828777,4.847711625032826,0.712949807856125,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_011,2.0109,25.779,22.996,-56.884,9.47e-06,107.051,1.55,0.1,-134.3,0.0067,0.0,0.0,100.0,7.65,480.5,17.72,UAV,4.682603337884617,5.023649975136699,0.09531017980432487,Desert,"UAV,HAPS,SAT (LEO)"
UE_012,1.4387,28.201,25.487,-54.034,5.74e-06,118.588,1.71,0.84,68.7,0.0048,0.0,0.0,100.0,8.47,170.7,11.21,UAV,4.784052502034533,5.241088031940974,0.6097655716208943,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_013,2.0005,26.0,22.046,-57.751,1.23e-05,102.653,1.35,1.1,-74.1,0.0067,0.0,0.0,100.0,7.33,289.3,13.47,UAV,4.64104878202299,4.910094853252109,0.7419373447293773,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_014,2.0189,26.264,22.676,-56.046,1.997e-05,105.57,1.78,0.1,100.6,0.0067,0.0,0.0,100.0,7.54,220.3,15.06,UAV,4.668802046232865,4.699621913381953,0.09531017980432487,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_015,2.1935,22.044,19.272,-58.1,3.4e-06,89.864,1.88,0.8,38.2,0.0073,0.0,0.0,100.0,6.42,232.5,18.22,UAV,4.509363883135077,5.4685209552240925,0.5877866649021191,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_016,2.3693,23.448,21.902,-58.541,2.82e-05,101.988,1.65,0.17,100.2,0.0079,0.0,0.0,100.0,7.28,276.1,16.36,UAV,4.634612476588049,4.549750876280125,0.15700374880966478,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_017,0.7143,36.398,33.376,-51.759,2.37e-06,155.229,1.87,0.16,-63.6,0.0024,0.0,0.0,100.0,11.09,306.5,14.35,UAV,5.0513228795840215,5.625251470743318,0.1484200051182733,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_018,2.0807,24.222,22.936,-57.416,1.73e-06,106.769,1.5,2.65,-31.3,0.0069,0.0,0.0,100.0,7.63,191.9,12.7,UAV,4.679990047545554,5.761953645834004,1.2947271675944,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_019,1.3433,31.678,29.456,-53.115,4.42e-06,137.012,1.67,0.3,-54.1,0.0045,0.0,0.0,100.0,9.79,415.3,14.83,UAV,4.927340637898444,5.354577632394249,0.262364264467491,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_000,1.5836,27.249,24.004,-56.202,4.85e-06,111.714,1.76,0.68,4.4,0.0053,0.0,0.0,100.0,7.98,163.2,12.68,UAV,4.724853636933102,5.314258171852492,0.5187937934151675,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_001,1.9366,25.526,21.717,-56.179,1.51e-06,101.137,1.23,1.08,77.4,0.0065,0.0,0.0,100.0,7.22,229.9,10.87,UAV,4.626315049337198,5.821022765094686,0.7323678937132266,Maritime,"UAV,HAPS,SAT (LEO)"
UE_002,1.5581,32.693,29.747,-55.031,1.038e-05,138.367,1.35,1.33,116.6,0.0052,0.0,0.0,100.0,9.88,473.8,14.65,UAV,4.937110741463853,4.983802604648018,0.8458682675776092,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_003,1.2886,33.175,31.432,-53.389,9.72e-06,146.196,1.17,0.56,74.3,0.0043,0.0,0.0,100.0,10.44,471.9,10.29,UAV,4.991765032012515,5.012333690393225,0.44468582126144574,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_004,1.0009,31.769,29.905,-53.161,7.51e-06,139.099,1.31,1.77,-41.9,0.0033,0.0,0.0,100.0,9.94,139.7,12.12,UAV,4.942349315558744,5.124360005167009,1.0188473201992472,Maritime,"UAV,HAPS,SAT (LEO)"
UE_005,1.3429,30.631,25.13,-54.52,9.56e-06,116.935,1.26,0.1,-61.5,0.0045,0.0,0.0,100.0,8.35,370.5,18.8,UAV,4.770133625235839,5.019542062295609,0.09531017980432487,Maritime,"UAV,HAPS,SAT (LEO)"
UE_006,1.6272,30.164,26.297,-54.232,1.713e-05,122.346,1.09,0.1,27.5,0.0054,0.0,0.0,100.0,8.74,220.4,10.1,UAV,4.814993414399302,4.766242611681631,0.09531017980432487,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_007,0.8642,34.849,31.515,-51.015,2.29e-06,146.579,1.69,0.19,-91.7,0.0029,0.0,0.0,100.0,10.47,396.2,17.2,UAV,4.994363625621357,5.640164328011908,0.17395330712343804,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_008,0.3881,42.046,38.262,-48.932,7.52e-06,177.948,1.44,0.62,65.8,0.0013,0.0,0.0,100.0,12.71,160.9,16.91,UAV,5.187095260843349,5.1237821016564356,0.4824261492442927,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_009,1.4315,33.85,32.679,-53.06,5.42e-06,151.991,1.21,0.31,142.6,0.0048,0.0,0.0,100.0,10.86,489.5,17.93,UAV,5.030379096132852,5.266000633333487,0.27002713721306015,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_010,1.8592,24.542,22.394,-58.522,2.15e-06,104.265,1.54,0.1,7.6,0.0062,0.0,0.0,100.0,7.45,292.2,16.92,UAV,4.656480980222518,5.667561338087008,0.09531017980432487,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_011,1.9994,23.745,21.406,-58.462,4.18e-06,99.7,1.4,0.23,-111.7,0.0067,0.0,0.0,100.0,7.12,471.1,14.73,UAV,4.612145799724517,5.378823614326776,0.20701416938432615,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_012,1.3474,30.979,29.384,-55.771,1.018e-05,136.681,1.64,2.48,107.0,0.0045,0.0,0.0,100.0,9.76,169.4,17.46,UAV,4.924939415095966,4.992252179337721,1.247032293786383,Maritime,"UAV,HAPS,SAT (LEO)"
UE_013,1.8744,26.03,24.681,-58.312,1.944e-05,114.853,1.12,0.23,-69.9,0.0062,0.0,0.0,100.0,8.2,286.2,12.71,UAV,4.752322146097698,4.711303717069494,0.20701416938432615,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_014,2.0511,26.582,21.874,-56.265,8.75e-06,101.86,1.5,0.51,79.6,0.0068,0.0,0.0,100.0,7.28,285.8,11.93,UAV,4.63336884034677,5.057991897344035,0.412109650826833,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_015,2.1167,24.378,21.446,-59.106,2.05e-06,99.882,1.21,0.46,36.9,0.0071,0.0,0.0,100.0,7.13,261.4,17.62,UAV,4.613951516995431,5.68824592709333,0.3784364357202451,Maritime,"UAV,HAPS,SAT (LEO)"
UE_016,2.2211,26.438,22.008,-57.221,2.31e-06,102.479,1.89,0.38,91.0,0.0074,0.0,0.0,100.0,7.32,267.2,14.84,UAV,4.639368693568003,5.636387832101628,0.3220834991691133,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_017,0.5839,43.681,42.029,-47.754,1.01e-05,195.468,1.09,0.14,-67.6,0.0019,0.0,0.0,100.0,13.96,311.9,15.25,UAV,5.280499568175062,4.995678583217906,0.13102826240640408,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_018,2.0194,25.115,22.515,-57.373,4.85e-06,104.823,1.17,2.25,-29.4,0.0067,0.0,0.0,100.0,7.49,204.5,11.94,UAV,4.6617678871024815,5.314258171852492,1.1786549963416462,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_019,1.307,29.75,28.03,-55.74,2.211e-05,130.392,1.26,0.63,-37.0,0.0044,0.0,0.0,100.0,9.31,417.2,10.14,UAV,4.8781852213964685,4.65541123777884,0.48858001481867097,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_000,1.406,27.734,26.322,-55.852,7.23e-06,122.463,1.64,0.1,6.8,0.0047,0.0,0.0,100.0,8.75,158.4,19.74,UAV,4.815941516038741,5.140861642637081,0.09531017980432487,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_001,1.8433,26.936,23.472,-57.154,4.55e-06,109.251,1.45,0.95,80.2,0.0061,0.0,0.0,100.0,7.8,237.6,11.26,UAV,4.702759584580605,5.341988507893562,0.6678293725756554,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_002,1.3734,33.514,29.822,-52.43,7.3e-06,138.713,1.43,0.27,117.9,0.0046,0.0,0.0,100.0,9.91,444.9,18.73,UAV,4.939590318483173,5.1366770803871535,0.23901690047049992,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_003,1.1785,34.322,31.612,-54.627,1.321e-05,147.03,1.05,1.2,104.0,0.0039,0.0,0.0,100.0,10.5,470.8,14.4,UAV,4.997414955925401,4.879097149509283,0.7884573603642702,Maritime,"UAV,HAPS,SAT (LEO)"
UE_004,0.9513,32.175,28.973,-54.13,1.199e-05,134.77,1.75,1.11,-67.1,0.0032,0.0,0.0,100.0,9.63,168.0,19.41,UAV,4.91096227761219,4.921180780679761,0.7466879474879752,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_005,1.2685,32.243,28.505,-53.866,1.031e-05,132.597,1.57,1.4,-45.8,0.0042,0.0,0.0,100.0,9.47,378.8,14.01,UAV,4.894827805760606,4.986741292592869,0.8754687373538999,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_006,1.5917,27.907,25.596,-55.722,2.3e-06,119.097,1.52,2.41,28.7,0.0053,0.0,0.0,100.0,8.51,210.5,10.54,UAV,4.78829974958994,5.63827197515876,1.2267122912954254,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_007,0.7557,44.222,42.287,-49.681,5.47e-06,196.666,1.11,0.32,-69.5,0.0025,0.0,0.0,100.0,14.05,379.1,13.04,UAV,5.286578737642647,5.2620125942708755,0.2776317365982795,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_008,0.5624,41.658,38.449,-48.547,7.28e-06,178.82,1.72,0.1,-68.7,0.0019,0.0,0.0,100.0,12.77,261.5,17.64,UAV,5.191956350556627,5.137868561031132,0.09531017980432487,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_009,1.3195,31.464,29.455,-56.358,1.87e-05,137.01,1.41,1.75,97.5,0.0044,0.0,0.0,100.0,9.79,488.5,12.26,UAV,4.927326146299949,4.728158370239198,1.0116009116784799,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_010,1.7934,24.609,21.288,-57.282,6.64e-06,99.153,1.9,0.77,6.5,0.006,0.0,0.0,100.0,7.08,284.2,14.43,UAV,4.606699016730582,5.177831855226192,0.5709795465857378,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_011,1.9983,24.258,20.462,-57.312,9.73e-06,95.342,1.56,0.1,-98.9,0.0067,0.0,0.0,100.0,6.81,462.8,13.05,UAV,4.567904360795603,5.0118871150970685,0.09531017980432487,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_012,1.2738,26.647,23.24,-57.395,3.13e-06,108.176,1.2,1.2,106.6,0.0042,0.0,0.0,100.0,7.73,168.1,17.4,UAV,4.692961258935813,5.504455523701343,0.7884573603642702,Maritime,"UAV,HAPS,SAT (LEO)"
UE_013,1.7543,22.983,21.553,-58.811,1.05e-06,100.378,1.15,0.51,-66.6,0.0058,0.0,0.0,100.0,7.17,283.1,12.11,UAV,4.618856105092655,5.978810287316467,0.412109650826833,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_014,2.0889,25.007,20.18,-56.977,1.633e-05,94.042,1.02,2.62,78.4,0.007,0.0,0.0,100.0,6.72,350.2,11.74,UAV,4.554318899163961,4.787013788668447,1.2864740258376797,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_015,2.0628,22.463,19.619,-59.111,5.58e-06,91.463,1.28,2.64,30.4,0.0069,0.0,0.0,100.0,6.53,285.2,14.51,UAV,4.526808564497039,5.253365723231876,1.2919836816486494,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_016,2.0982,24.82,21.833,-57.492,8.73e-06,101.669,1.65,2.79,75.5,0.007,0.0,0.0,100.0,7.26,259.8,12.31,UAV,4.631510221319932,5.05898570654707,1.332366019094335,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_017,0.4721,48.855,45.261,-46.005,1.96e-05,210.495,1.83,0.79,-64.4,0.0016,0.0,0.0,100.0,15.04,317.1,14.54,UAV,5.354201357544949,4.707743906485643,0.5822156198526637,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_018,1.9378,26.483,24.667,-54.569,9.08e-06,114.786,1.61,0.26,-44.1,0.0065,0.0,0.0,100.0,8.2,223.2,17.88,UAV,4.751743659729958,5.041914103649129,0.23111172096338664,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_019,1.2575,32.694,28.339,-52.62,1.91e-05,131.827,1.5,0.1,-70.5,0.0042,0.0,0.0,100.0,9.42,420.7,19.34,UAV,4.889047529630007,4.718966610014342,0.09531017980432487,Maritime,"UAV,HAPS,SAT (LEO)"
UE_000,1.2623,29.41,29.287,-54.344,6.77e-06,136.227,1.75,0.92,5.7,0.0042,0.0,0.0,100.0,9.73,154.3,16.48,UAV,4.921636488933498,5.169411267165011,0.6523251860396903,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_001,1.7567,27.14,25.617,-55.73,2.32e-06,119.19,1.29,1.61,76.3,0.0059,0.0,0.0,100.0,8.51,244.9,10.71,UAV,4.7890738239646975,5.634511827913244,0.959350221334602,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_002,1.2016,35.095,30.626,-54.166,1.454e-05,142.449,1.27,2.8,110.1,0.004,0.0,0.0,100.0,10.17,417.9,17.49,UAV,4.965979571333016,4.837435563608036,1.33500106673234,Maritime,"UAV,HAPS,SAT (LEO)"
UE_003,1.0981,34.522,32.8,-55.191,1.001e-05,152.555,1.64,0.26,81.2,0.0037,0.0,0.0,100.0,10.9,470.0,11.24,UAV,5.034058809039844,4.999565879134622,0.23111172096338664,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_004,0.94,31.467,28.514,-54.717,7.23e-06,132.637,1.45,0.48,-67.1,0.0031,0.0,0.0,100.0,9.47,196.3,19.43,UAV,4.895127168867836,5.140861642637081,0.3920420877760237,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_005,1.2189,31.148,27.684,-53.365,1.641e-05,128.784,1.4,0.35,-35.4,0.0041,0.0,0.0,100.0,9.2,385.3,10.8,UAV,4.865871530108098,4.784891392481674,0.3001045924503381,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_006,1.5561,27.579,24.83,-54.66,2.16e-06,115.544,1.09,0.59,36.0,0.0052,0.0,0.0,100.0,8.25,198.1,13.22,UAV,4.758268884105143,5.665546047786855,0.4637340162321401,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_007,0.609,43.483,41.636,-47.232,2.66e-06,193.639,1.52,0.41,-104.6,0.002,0.0,0.0,100.0,13.83,353.5,19.62,UAV,5.2711465607719745,5.575118200100362,0.3435897043900769,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_008,0.3699,44.528,41.897,-48.701,7.86e-06,194.85,1.61,0.12,75.9,0.0012,0.0,0.0,100.0,13.92,150.3,19.51,UAV,5.27734906011184,5.104577398706845,0.11332868530700317,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_009,1.2057,30.7,30.144,-53.764,2.37e-06,140.212,1.69,0.34,100.9,0.004,0.0,0.0,100.0,10.02,487.5,12.7,UAV,4.950262307283744,5.625251470743318,0.29266961396282,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_010,1.7362,28.383,25.457,-54.18,1.48e-05,118.449,1.84,1.59,6.6,0.0058,0.0,0.0,100.0,8.46,276.0,14.71,UAV,4.782889502033134,4.829738255260822,0.9516578757114464,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_011,2.0046,24.858,21.655,-57.852,1.765e-05,100.847,1.58,3.0,-89.6,0.0067,0.0,0.0,100.0,7.2,455.3,11.81,UAV,4.623471687158004,4.75325526567024,1.3862943611198906,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_012,1.3357,25.305,23.216,-58.652,7.7e-06,108.068,1.32,0.1,-91.4,0.0045,0.0,0.0,100.0,7.72,169.2,14.92,UAV,4.691971540924634,5.113509218425641,0.09531017980432487,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_013,1.6224,25.066,22.554,-56.72,3.91e-06,105.003,1.78,0.51,-73.3,0.0054,0.0,0.0,100.0,7.5,279.8,13.33,UAV,4.663467395598369,5.40782313153139,0.412109650826833,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_014,2.1387,22.839,19.343,-59.111,8.93e-06,90.194,1.27,0.16,88.8,0.0071,0.0,0.0,100.0,6.44,423.2,13.3,UAV,4.512989105442379,5.049148492478256,0.1484200051182733,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_015,2.0046,22.729,20.538,-58.578,2.383e-05,95.692,1.51,0.94,40.7,0.0067,0.0,0.0,100.0,6.84,317.2,19.45,UAV,4.571530668943854,4.622875939428849,0.6626879730752367,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_016,1.9531,24.057,21.271,-58.084,3.21e-06,99.075,1.3,1.31,89.2,0.0065,0.0,0.0,100.0,7.08,251.0,14.55,UAV,4.605919904878637,5.493494832300918,0.8372475245337022,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_017,0.3609,48.669,45.248,-46.213,1.328e-05,210.438,1.47,0.53,-87.3,0.0012,0.0,0.0,100.0,15.03,324.2,19.7,UAV,5.3539318113031324,4.876801892265105,0.4252677354043441,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_018,1.8631,23.244,22.61,-56.733,3.49e-06,105.265,1.5,0.1,-49.0,0.0062,0.0,0.0,100.0,7.52,244.1,19.88,UAV,4.6659359743106545,5.457174448601158,0.09531017980432487,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_019,1.2393,34.335,30.347,-52.804,1.069e-05,141.152,1.33,0.61,-51.6,0.0041,0.0,0.0,100.0,10.08,423.3,14.13,UAV,4.956896907642774,4.971022254164986,0.4762341789963716,Desert,"UAV,HAPS,SAT (LEO)"
