UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UE_000031,0.0101,47.15,43.608,-47.85,8.6e-09,18.98,1.5,0.3307,-13.1925,3.4e-05,0,0,77.3662,11.733707,WiFi6_5GHz,2.9947317732204075,8.065451052333852,0.28570511956755973
UE_000032,0.0021,13.83,9.7703,-81.17,0.0276621182,7.08,1.5,2.7215,-23.6779,7e-06,0,0,53.3792,2.133036,WiFi6_5GHz,2.089391872533004,1.5581145672569383,1.3141268128178283
UE_000033,0.0041,12.88,4.4239,-82.12,0.0156431412,11.43,1.5,5.6731,22.3538,1.4e-05,0,0,55.0171,2.378955,WiFi6_5GHz,2.5201129055226197,1.8056760345701075,1.8980845195727087
UE_000034,0.0053,2.18,-5.0045,-92.82,0.147270498,12.5,1.5,35.8766,3.6855,1.8e-05,0,0,21.1554,0.63747,WiFi6_5GHz,2.6026896854443837,0.8318842445940581,3.607577203549181
UE_000035,0.0064,-2.66,-10.1849,-97.66,0.0605327182,21.33,1.5,25.4519,20.2631,2.1e-05,0,0,29.4138,0.288359,WiFi6_5GHz,3.1059310658520665,1.2180098238044537,3.2753279893727885
UE_000036,0.0134,3.25,-1.9164,-91.75,0.0826143953,5.84,1.5,16.6523,12.2949,4.5e-05,0,0,34.2734,0.548333,WiFi6_5GHz,1.922787731634459,1.0829442716253843,2.8708660865042157
UE_000037,0.0052,11.24,5.6771,-83.76,0.0431906113,13.27,1.5,2.7349,18.7459,1.7e-05,0,0,55.7599,2.314723,WiFi6_5GHz,2.658159431488745,1.364610649095074,1.3177210444646437
UE_000038,0.0133,35.55,29.5338,-59.45,8e-09,13.79,1.5093,0.225,-16.0261,4.4e-05,0,0,76.0206,11.720037,WiFi6_5GHz,2.6939512767227085,8.09685572959046,0.20294084399669032
UE_000039,0.0037,1.45,-5.5271,-93.55,0.1499763834,10.28,1.5,17.8255,-5.7697,1.2e-05,0,0,34.9254,0.351999,WiFi6_5GHz,2.423031246069913,0.8239771233851758,2.9352123337582023
UE_000040,0.0102,41.54,36.5976,-53.46,1.5e-09,11.54,1.5,0.2327,-7.3154,3.4e-05,0,0,79.2603,11.665535,WiFi6_5GHz,2.5289235352047745,8.82361930775673,0.2092068855753367
UE_000041,0.0089,29.17,26.5803,-65.83,5.1451e-06,13.32,1.5,0.1047,24.8986,3e-05,0,0,72.9864,7.817667,WiFi6_5GHz,2.6616571615324998,5.288606095476448,0.09957380489609238
UE_000042,0.0033,9.59,3.3952,-85.41,0.0312153616,19.4,1.5,36.8181,-10.0543,1.1e-05,0,0,33.2549,1.728272,WiFi6_5GHz,3.0155349008501706,1.5056316298049532,3.632787823999014
UE_000043,0.0067,48.11,43.1771,-46.89,2.5e-09,18.78,1.5,0.0811,28.6808,2.2e-05,0,0,83.2794,11.634287,WiFi6_5GHz,2.984671326194566,8.601886308269497,0.07797904131658864
UE_000044,0.0134,8.88,1.4665,-86.12,0.0217819221,26.56,1.5809,25.1234,7.8465,4.5e-05,0,0,38.385,1.737305,WiFi6_5GHz,3.3163654461454577,1.6619037994642598,3.2628314643903447
UE_000045,0.0082,64.66,58.3738,-30.34,3.3e-09,20.11,1.5,0.3251,23.017,2.7e-05,0,0,79.5372,11.626771,WiFi6_5GHz,3.0497468618602293,8.481354475669688,0.2814879282884534
UE_000046,0.0097,63.36,58.1813,-31.64,1e-09,28.74,1.5,0.3277,-9.7305,3.2e-05,0,0,83.7733,11.923775,WiFi6_5GHz,3.392492941032009,8.99956592252068,0.2834481219197193
UE_000047,0.0038,27.13,23.4023,-67.87,6.99e-07,19.09,1.5,0.4433,-31.67,1.3e-05,0,0,68.702,7.019546,WiFi6_5GHz,3.000222178826843,6.155522202946491,0.3669321583913807
UE_000048,0.0022,-0.52,-3.4606,-95.52,0.1144598085,8.26,1.5,23.579,-10.7317,7e-06,0,0,28.4135,0.1,WiFi6_5GHz,2.225704048658088,0.9413469850310594,3.2018924198277876
UE_000049,0.0114,18.12,10.9539,-76.88,0.0006098995,15.99,1.5,0.6761,14.7459,3.8e-05,0,0,61.4525,3.537819,WiFi6_5GHz,2.8326249356838407,3.21474172196782,0.5164696661510757
UE_000050,0.0035,7.64,-0.0359,-87.36,0.0025427805,22.88,1.5,38.559,12.8895,1.2e-05,0,0,28.0372,1.030106,WiFi6_5GHz,3.1730412885244013,2.5946911275627116,3.6777932283763706
UE_000051,0.0031,27.23,21.9058,-67.77,8.3051e-06,18.28,1.5,0.0944,-20.0058,1e-05,0,0,71.7348,6.988345,WiFi6_5GHz,2.9590682891823996,5.0806550816381195,0.09020626788614897
UE_000052,0.0065,15.9,10.2595,-79.1,0.0002666027,7.63,1.5,0.6112,9.6786,2.2e-05,0,0,56.344,3.562201,WiFi6_5GHz,2.1552445050953364,3.5741354549842246,0.47697924298216077
UE_000053,0.0138,5.11,2.015,-89.89,0.0070915014,25.73,1.5,16.9205,8.6287,4.6e-05,0,0,43.1347,0.995536,WiFi6_5GHz,3.2857865301508276,2.1492618069693936,2.885945308943251
UE_000054,0.0054,23.47,15.6397,-71.53,0.000586365,20.92,1.5,1.7643,1.5362,1.8e-05,0,0,63.1656,5.428565,WiFi6_5GHz,3.087399462079815,3.2318319597963088,1.01678743836578
UE_000055,0.0061,9.17,2.4402,-85.83,0.0386905919,11.74,1.5,35.2092,-11.9477,2e-05,0,0,29.0022,1.305772,WiFi6_5GHz,2.5447466501440172,1.4123946262526026,3.5893132301891084
UE_000056,0.0136,7.55,1.4584,-87.45,0.006635361,10.63,1.5,18.4349,-31.67,4.5e-05,0,0,37.2291,1.201093,WiFi6_5GHz,2.453587966530573,2.1781354440915868,2.9670704189346333
UE_000057,0.0081,47.05,40.9611,-47.95,8.8e-09,14.27,1.5,0.125,-26.302,2.7e-05,0,0,83.801,11.496735,WiFi6_5GHz,2.725890119230541,8.05546797900802,0.11778303565638346
UE_000058,0.0131,35.63,28.8739,-59.37,8e-09,9.58,1.5,0.0983,-2.5875,4.4e-05,0,0,74.2683,11.696683,WiFi6_5GHz,2.3589654264301534,8.09685572959046,0.09376352981216315
UE_000059,0.0135,24.39,19.2333,-70.61,0.0003638617,30.13,1.5,0.5552,-24.3282,4.5e-05,0,0,66.9081,5.436361,WiFi6_5GHz,3.4381719844535166,3.4390636545530997,0.4416041547240376
UE_000060,0.0111,33.27,25.1123,-61.73,1.1512e-06,12.05,1.5,0.1125,-16.7581,3.7e-05,0,0,72.1846,10.429233,WiFi6_5GHz,2.5687881337687024,5.9388488418178955,0.10660973505825823
UE_000061,0.0136,51.95,45.2175,-43.05,4.2e-09,14.75,1.697,0.1909,-18.822,4.5e-05,0,0,80.6144,11.744578,WiFi6_5GHz,2.7568403652716422,8.376647318462007,0.17470932379181306
UE_000062,0.0043,27.5,22.4655,-67.5,5.23e-06,12.02,1.5,0.4102,9.1103,1.4e-05,0,0,69.0569,6.989641,WiFi6_5GHz,2.5664866367804233,5.281498228093636,0.3437315383028032
UE_000063,0.0056,-0.86,-7.5878,-95.86,0.1031780767,13.39,1.8212,18.3026,13.8279,1.9e-05,0,0,30.7528,0.413323,WiFi6_5GHz,2.6665335208992764,0.9864125718874801,2.9602398018634926
UE_000064,0.013,15.19,7.6063,-79.81,0.0003932081,16.14,1.5,0.7666,8.3148,4.3e-05,0,0,57.284,3.059323,WiFi6_5GHz,2.8414149131696336,3.4053775432728726,0.5690567953288947
UE_000065,0.0017,36.41,32.0389,-58.59,2.8e-09,16.15,1.5,0.0016,-1.7968,6e-06,0,0,79.8926,11.901976,WiFi6_5GHz,2.841998173611949,8.552686891176432,0.0015987213636970278
UE_000066,0.0086,57.68,50.5048,-37.32,7.8e-09,13.74,1.5,0.0549,27.0758,2.9e-05,0,0,77.7566,11.997506,WiFi6_5GHz,2.6905648867611904,8.107849722098637,0.05344597570562602
UE_000067,0.0109,30.15,25.69,-64.85,8.3615e-06,17.31,1.5,0.3616,-3.1037,3.6e-05,0,0,71.9147,7.915292,WiFi6_5GHz,2.907447358686419,5.077715753960068,0.3086604788369726
UE_000068,0.0084,23.57,17.9702,-71.43,0.0006120207,9.45,1.5,1.4923,1.7846,2.8e-05,0,0,62.9749,5.463386,WiFi6_5GHz,2.34660197841082,3.2132338880210667,0.9132059789122309
UE_000069,0.0124,53.76,51.7338,-41.24,1.7e-09,5.08,1.5,0.206,-10.4738,4.1e-05,0,0,78.359,11.624797,WiFi6_5GHz,1.8050046959780757,8.769295686387432,0.1873090983049937
UE_000070,0.002,3.65,-3.276,-91.35,0.1436257717,13.14,1.5,28.6224,-1.8019,7e-06,0,0,29.0616,0.311724,WiFi6_5GHz,2.6490076604684267,0.8427676248339588,3.388530831890755
UE_000071,0.008,21.92,16.0957,-73.08,0.0009529299,11.48,1.5,1.7046,1.5385,2.7e-05,0,0,63.1554,5.445126,WiFi6_5GHz,2.5241273629412815,3.0209390455616725,0.9949540270571223
UE_000072,0.0042,8.88,3.4023,-86.12,0.0214882454,7.36,1.8016,8.7675,-23.8579,1.4e-05,0,0,44.3612,1.58882,WiFi6_5GHz,2.1234584270966104,1.6677990448982012,2.2790605479470885
UE_000073,0.0059,51.05,44.733,-43.95,4.9e-09,19.26,1.5,0.2856,-27.4391,2e-05,0,0,80.5271,11.477905,WiFi6_5GHz,3.0086484988205373,8.30971529748737,0.25122553544116577
UE_000074,0.0031,24.86,16.8025,-70.14,0.0002075219,19.88,1.5,0.5558,-14.9362,1e-05,0,0,66.6904,5.328831,WiFi6_5GHz,3.038791763014438,3.6829360628963257,0.44198988279053664
UE_000075,0.0126,14.98,7.9951,-80.02,0.0231268989,13.95,1.5,5.8508,10.4842,4.2e-05,0,0,55.9853,2.360724,WiFi6_5GHz,2.7047112998366956,1.6358825981189367,1.9243654337760767
UE_000076,0.001,48.48,45.0698,-46.52,9.3e-09,20.26,1.5,0.2467,-21.3999,3e-06,0,0,84.063,11.806906,WiFi6_5GHz,3.056827372913802,8.03147035562516,0.22050006036879222
UE_000077,0.0057,39.08,31.176,-55.92,4e-09,25.03,1.5,0.2473,-11.0567,1.9e-05,0,0,81.0277,11.561272,WiFi6_5GHz,3.259249719006474,8.397831448621004,0.22098121514952637
UE_000078,0.0054,45.59,39.9333,-49.41,1e-09,14.34,1.5,0.1632,6.4611,1.8e-05,0,0,76.3806,11.706985,WiFi6_5GHz,2.73046379593911,8.99956592252068,0.15117482779711788
UE_000079,0.0138,5.61,0.2207,-89.39,0.0137715942,26.83,1.5,16.9621,16.0005,4.6e-05,0,0,36.0128,1.118861,WiFi6_5GHz,3.326114575537799,1.8610157828641807,2.8882639825420235
UE_000080,0.0047,12.6,8.304,-82.4,0.0309741634,15.71,1.5,3.6291,-3.685,1.6e-05,0,0,56.6012,2.329407,WiFi6_5GHz,2.8160073426073025,1.5090004149030183,1.532362464753793
UE_000081,0.0112,23.77,18.9351,-71.23,0.0005910929,34.78,1.5,1.9754,6.7105,3.7e-05,0,0,65.3833,5.487851,WiFi6_5GHz,3.5773890780805733,3.2283442564776066,1.0903784837410062
UE_000082,0.0057,1.51,-3.8299,-93.49,0.1277087415,23.36,1.5461,37.1857,-25.881,1.9e-05,0,0,24.3281,0.232022,WiFi6_5GHz,3.192942442841696,0.8937793748139848,3.642461099978005
UE_000083,0.0112,47.54,43.0236,-47.46,1e-10,10.94,1.6654,0.153,29.1829,3.7e-05,0,0,81.2581,11.617213,WiFi6_5GHz,2.479894107964456,9.995678626217357,0.14236724128692196
UE_000084,0.0015,59.62,54.8013,-35.38,3.8e-09,21.92,1.5,0.433,30.3422,5e-06,0,0,86.9366,12.048412,WiFi6_5GHz,3.132009891846539,8.420102130396897,0.3597701488460348
UE_000085,0.0055,27.68,26.0352,-67.32,3.8187e-06,15.55,1.5,0.337,16.0248,1.8e-05,0,0,68.4721,7.087142,WiFi6_5GHz,2.806386101823072,5.418084345065716,0.29042829811980614
UE_000086,0.0095,4.7,-1.005,-90.3,0.132122211,16.8,1.5,37.0364,-21.7463,3.2e-05,0,0,24.943,0.613,WiFi6_5GHz,2.8791984572980396,0.8790241672126906,3.6385435959748302
UE_000087,0.0034,0.63,-4.4926,-94.37,0.1170541011,13.21,1.5,20.1285,-0.3315,1.1e-05,0,0,31.2203,0.352958,WiFi6_5GHz,2.6539459421090092,0.9316133657833956,3.0506228399931166
UE_000088,0.0099,15.89,10.0796,-79.11,0.0006420014,22.85,1.5,0.9206,14.817,3.3e-05,0,0,59.1209,3.773407,WiFi6_5GHz,3.1717842173343502,3.1924640241960915,0.6526376372217353
UE_000089,0.0027,52.22,44.8985,-42.78,7.8e-09,29.66,1.5078,0.1737,-6.0246,9e-06,0,0,81.9225,11.780484,WiFi6_5GHz,3.422958873443668,8.107849722098637,0.16016115212394116
UE_000090,0.0128,7.15,1.788,-87.85,0.0367549899,26.64,1.5,24.0557,-17.6235,4.3e-05,0,0,37.1145,0.877559,WiFi6_5GHz,3.319263998899469,1.434683692243466,3.2211013465566367
UE_000091,0.0104,71.18,64.8052,-23.82,2.6e-09,19.82,1.5586,0.1694,12.2391,3.5e-05,0,0,79.6745,11.89624,WiFi6_5GHz,3.035914063186823,8.584859647804127,0.15649079675943306
UE_000092,0.0012,53.18,48.9048,-41.82,1.3e-09,13.36,1.6412,0.3967,-24.9641,4e-06,0,0,75.0445,11.928945,WiFi6_5GHz,2.664446563620078,8.885722703438415,0.33411231132958863
UE_000093,0.0072,29.26,26.1601,-65.74,5.565e-07,11.89,1.5,0.364,-6.1722,2.4e-05,0,0,68.9474,7.882933,WiFi6_5GHz,2.556451816951096,6.254534050926592,0.31042155942127037
UE_000094,0.0132,26.6,22.9124,-68.4,7.4939e-06,14.1,1.5,0.1708,19.0723,4.4e-05,0,0,71.9879,7.09554,WiFi6_5GHz,2.714694743820879,5.1252920485571005,0.15768727583559375
UE_000095,0.0112,12.21,7.5941,-82.79,0.0086787279,18.47,1.5,6.3681,-12.2223,3.7e-05,0,0,50.9585,2.373768,WiFi6_5GHz,2.968874819384108,2.0615439275957934,1.9971598710650302
UE_000096,0.0015,42.72,35.0724,-52.28,1.9e-09,34.81,1.5,0.1074,-10.055,5e-06,0,0,86.1141,11.576615,WiFi6_5GHz,3.5782271840103412,8.721017883134557,0.10201492540672975
UE_000097,0.007,60.22,54.6482,-34.78,5.6e-09,6.88,1.5,0.1791,4.4926,2.3e-05,0,0,83.6307,11.448762,WiFi6_5GHz,2.064327903869788,8.25173442733126,0.1647514356004906
UE_000098,0.0024,43.87,38.6716,-51.13,1.6e-09,18.7,1.5,0.2595,4.8449,8e-06,0,0,79.5076,12.008437,WiFi6_5GHz,2.9806186357439426,8.7956086680807,0.23071481681052783
UE_000099,0.0024,-3.18,-10.0238,-98.18,0.1391026752,21.98,1.5,35.3548,-19.451,8e-06,0,0,24.0568,0.357611,WiFi6_5GHz,3.1346242724206097,0.8566645176437537,3.5933262447803274
UE_000100,0.0115,45.16,40.5008,-49.84,6e-09,14.34,1.5,0.4921,27.209,3.8e-05,0,0,79.0319,11.340482,WiFi6_5GHz,2.73046379593911,8.221776373233903,0.40018452366423884
UE_000101,0.0064,23.06,18.9227,-71.94,0.0002494599,12.13,1.5,1.5608,18.3767,2.1e-05,0,0,63.846,5.446415,WiFi6_5GHz,2.574899688314705,3.6029992543452356,0.9403197096735163
UE_000102,0.0062,12.76,8.3433,-82.24,0.0093401284,23.12,1.5,3.1649,-15.4605,2.1e-05,0,0,55.5084,2.44219,WiFi6_5GHz,3.1830413718589847,2.029647153377779,1.4266922657267294
UE_000103,0.0077,30.97,25.7234,-64.03,4.9334e-06,11.24,1.5,0.1651,-3.4992,2.6e-05,0,0,72.3182,8.111257,WiFi6_5GHz,2.50470927708418,5.306853582488542,0.1528069202437584
UE_000104,0.0051,26.28,23.6585,-68.72,7.273e-06,17.97,1.5,0.2131,-24.5625,1.7e-05,0,0,66.0254,6.867001,WiFi6_5GHz,2.9428587839469227,5.138286352715318,0.19317906679473665
UE_000105,0.0116,56.55,52.3347,-38.45,8.9e-09,11.29,1.5,0.2736,-15.5734,3.9e-05,0,0,78.0964,11.710004,WiFi6_5GHz,2.5087859235779435,8.050561198963496,0.24184753610798154
UE_000106,0.0108,-0.86,-4.1201,-95.86,0.0694307969,9.44,1.5,21.8578,0.9304,3.6e-05,0,0,28.3684,0.489998,WiFi6_5GHz,2.3456445824544927,1.15844785004345,3.1292924157652404
UE_000107,0.0048,44.85,40.5042,-50.15,3e-09,22.59,1.5,0.2905,-31.67,1.6e-05,0,0,79.5327,11.64172,WiFi6_5GHz,3.1608228934195837,8.522734004575147,0.25502974017653146
UE_000108,0.0022,-1.16,-4.8323,-96.16,0.1472053836,18.86,1.5,11.1522,-17.1535,7e-06,0,0,37.3446,0.365808,WiFi6_5GHz,2.9887076586170265,0.8320763066734345,2.497510223354219
UE_000109,0.0102,18.19,15.5674,-76.81,0.0007482703,7.24,1.5,1.636,-5.848,3.4e-05,0,0,57.625,3.526181,WiFi6_5GHz,2.1090003439213802,3.1259414916709636,0.9692626166402607
UE_000110,0.0101,48.26,45.9479,-46.74,3.1e-09,18.18,1.5,0.3867,-11.4902,3.4e-05,0,0,81.7361,11.945803,WiFi6_5GHz,2.953868069455292,8.508498233762674,0.3269268237776815
UE_000111,0.0101,-4.39,-7.0439,-99.39,0.1083595673,25.38,1.6714,15.4438,19.0604,3.4e-05,0,0,38.5455,0.31979,WiFi6_5GHz,3.2726061472891685,0.9651327378504162,2.7999485064707903
UE_000112,0.0012,36.87,33.1116,-58.13,7e-10,22.22,1.5,0.2027,31.2505,4e-06,0,0,79.3209,11.549909,WiFi6_5GHz,3.1450139762697455,9.154281982033341,0.1845690293344339
UE_000113,0.0091,42.3,37.4694,-52.7,2.5e-09,10.16,1.5,0.0956,2.7649,3e-05,0,0,77.6945,11.692296,WiFi6_5GHz,2.412335956953165,8.601886308269497,0.09130215840678604
UE_000114,0.0088,43.39,34.6533,-51.61,6.1e-09,15.89,1.5,0.1614,24.5659,2.9e-05,0,0,81.1012,12.023768,WiFi6_5GHz,2.826721730819709,8.214598975007613,0.14962617395581243
UE_000115,0.0101,50.75,44.7099,-44.25,5.5e-09,24.8,1.5,0.047,28.3836,3.4e-05,0,0,86.5063,11.611403,WiFi6_5GHz,3.250374491927572,8.259558355050235,0.045928931888399804
UE_000116,0.01,52.53,47.5442,-42.47,1.4e-09,18.61,1.5,0.4158,-6.812,3.3e-05,0,0,80.5926,11.592501,WiFi6_5GHz,2.976039640208255,8.853561864714225,0.34769474235795184
UE_000117,0.0109,32.2,25.1049,-62.8,6.8442e-06,16.47,1.5,0.1153,-8.6948,3.6e-05,0,0,70.8282,10.824338,WiFi6_5GHz,2.8604851241459652,5.164677244614713,0.10912342701835417
UE_000118,0.0047,1.96,-3.7271,-93.04,0.0655679785,9.46,1.5552,29.7214,24.7997,1.6e-05,0,0,28.7084,0.138815,WiFi6_5GHz,2.347558458636777,1.1833082056791338,3.424959480157724
UE_000119,0.0134,55.14,50.6376,-39.86,6.6e-09,15.87,1.5,0.3663,25.8597,4.5e-05,0,0,80.4803,11.355934,WiFi6_5GHz,2.825536896557877,8.180390267248415,0.31210635636230516
UE_000120,0.0089,10.08,6.7545,-84.92,0.003002524,10.72,1.5,6.2794,13.9252,3e-05,0,0,49.9751,1.844824,WiFi6_5GHz,2.4612967841488667,2.522513512331318,1.9850484412296614
UE_000121,0.0107,24.42,15.6329,-70.58,0.000443898,13.61,1.5,1.8165,-24.7287,3.6e-05,0,0,63.9842,5.525121,WiFi6_5GHz,2.681706225762608,3.352716810722829,1.0354949793526316
UE_000122,0.0128,24.59,17.369,-70.41,0.0008493007,16.19,1.5,0.6474,22.3107,4.3e-05,0,0,65.7234,5.122316,WiFi6_5GHz,2.844327819394758,3.070938517454966,0.4991982875250113
UE_000123,0.0032,48.61,41.7203,-46.39,9.7e-09,8.8,1.5,0.1082,-20.6448,1.1e-05,0,0,77.857,11.568368,WiFi6_5GHz,2.2823823856765264,8.013183495414463,0.10273707745111223
UE_000124,0.0061,36.0,32.5321,-59.0,5.1e-09,28.02,1.5,0.3243,22.6302,2e-05,0,0,77.621,11.976769,WiFi6_5GHz,3.367985247456042,8.292344676468813,0.2808840179507816
UE_000125,0.0113,56.85,49.2224,-38.15,8.2e-09,22.31,1.5,0.3265,15.6393,3.8e-05,0,0,84.1703,11.373978,WiFi6_5GHz,3.1488824530476656,8.08613318810376,0.2825438945956573
