UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type
UE_010,1.9471,25.523,23.305,-58.475,1.42e-05,108.478,1.1,1.04,7.6,0.0065,0.0,0.0,100.0,7.75,301.6,16.91,UAV
UE_011,2.0109,25.779,22.996,-56.884,9.47e-06,107.051,1.55,0.1,-134.3,0.0067,0.0,0.0,100.0,7.65,480.5,17.72,UAV
UE_012,1.4387,28.201,25.487,-54.034,5.74e-06,118.588,1.71,0.84,68.7,0.0048,0.0,0.0,100.0,8.47,170.7,11.21,UAV
UE_013,2.0005,26.0,22.046,-57.751,1.23e-05,102.653,1.35,1.1,-74.1,0.0067,0.0,0.0,100.0,7.33,289.3,13.47,UAV
UE_014,2.0189,26.264,22.676,-56.046,1.997e-05,105.57,1.78,0.1,100.6,0.0067,0.0,0.0,100.0,7.54,220.3,15.06,UAV
UE_015,2.1935,22.044,19.272,-58.1,3.4e-06,89.864,1.88,0.8,38.2,0.0073,0.0,0.0,100.0,6.42,232.5,18.22,UAV
UE_016,2.3693,23.448,21.902,-58.541,2.82e-05,101.988,1.65,0.17,100.2,0.0079,0.0,0.0,100.0,7.28,276.1,16.36,UAV
UE_017,0.7143,36.398,33.376,-51.759,2.37e-06,155.229,1.87,0.16,-63.6,0.0024,0.0,0.0,100.0,11.09,306.5,14.35,UAV
UE_018,2.0807,24.222,22.936,-57.416,1.73e-06,106.769,1.5,2.65,-31.3,0.0069,0.0,0.0,100.0,7.63,191.9,12.7,UAV
UE_019,1.3433,31.678,29.456,-53.115,4.42e-06,137.012,1.67,0.3,-54.1,0.0045,0.0,0.0,100.0,9.79,415.3,14.83,UAV
UE_000,1.5836,27.249,24.004,-56.202,4.85e-06,111.714,1.76,0.68,4.4,0.0053,0.0,0.0,100.0,7.98,163.2,12.68,UAV
UE_001,1.9366,25.526,21.717,-56.179,1.51e-06,101.137,1.23,1.08,77.4,0.0065,0.0,0.0,100.0,7.22,229.9,10.87,UAV
UE_002,1.5581,32.693,29.747,-55.031,1.038e-05,138.367,1.35,1.33,116.6,0.0052,0.0,0.0,100.0,9.88,473.8,14.65,UAV
UE_003,1.2886,33.175,31.432,-53.389,9.72e-06,146.196,1.17,0.56,74.3,0.0043,0.0,0.0,100.0,10.44,471.9,10.29,UAV
UE_004,1.0009,31.769,29.905,-53.161,7.51e-06,139.099,1.31,1.77,-41.9,0.0033,0.0,0.0,100.0,9.94,139.7,12.12,UAV
UE_005,1.3429,30.631,25.13,-54.52,9.56e-06,116.935,1.26,0.1,-61.5,0.0045,0.0,0.0,100.0,8.35,370.5,18.8,UAV
UE_006,1.6272,30.164,26.297,-54.232,1.713e-05,122.346,1.09,0.1,27.5,0.0054,0.0,0.0,100.0,8.74,220.4,10.1,UAV
UE_007,0.8642,34.849,31.515,-51.015,2.29e-06,146.579,1.69,0.19,-91.7,0.0029,0.0,0.0,100.0,10.47,396.2,17.2,UAV
UE_008,0.3881,42.046,38.262,-48.932,7.52e-06,177.948,1.44,0.62,65.8,0.0013,0.0,0.0,100.0,12.71,160.9,16.91,UAV
UE_009,1.4315,33.85,32.679,-53.06,5.42e-06,151.991,1.21,0.31,142.6,0.0048,0.0,0.0,100.0,10.86,489.5,17.93,UAV
UE_010,1.8592,24.542,22.394,-58.522,2.15e-06,104.265,1.54,0.1,7.6,0.0062,0.0,0.0,100.0,7.45,292.2,16.92,UAV
UE_011,1.9994,23.745,21.406,-58.462,4.18e-06,99.7,1.4,0.23,-111.7,0.0067,0.0,0.0,100.0,7.12,471.1,14.73,UAV
UE_012,1.3474,30.979,29.384,-55.771,1.018e-05,136.681,1.64,2.48,107.0,0.0045,0.0,0.0,100.0,9.76,169.4,17.46,UAV
UE_013,1.8744,26.03,24.681,-58.312,1.944e-05,114.853,1.12,0.23,-69.9,0.0062,0.0,0.0,100.0,8.2,286.2,12.71,UAV
UE_014,2.0511,26.582,21.874,-56.265,8.75e-06,101.86,1.5,0.51,79.6,0.0068,0.0,0.0,100.0,7.28,285.8,11.93,UAV
UE_015,2.1167,24.378,21.446,-59.106,2.05e-06,99.882,1.21,0.46,36.9,0.0071,0.0,0.0,100.0,7.13,261.4,17.62,UAV
UE_016,2.2211,26.438,22.008,-57.221,2.31e-06,102.479,1.89,0.38,91.0,0.0074,0.0,0.0,100.0,7.32,267.2,14.84,UAV
UE_017,0.5839,43.681,42.029,-47.754,1.01e-05,195.468,1.09,0.14,-67.6,0.0019,0.0,0.0,100.0,13.96,311.9,15.25,UAV
UE_018,2.0194,25.115,22.515,-57.373,4.85e-06,104.823,1.17,2.25,-29.4,0.0067,0.0,0.0,100.0,7.49,204.5,11.94,UAV
UE_019,1.307,29.75,28.03,-55.74,2.211e-05,130.392,1.26,0.63,-37.0,0.0044,0.0,0.0,100.0,9.31,417.2,10.14,UAV
UE_000,1.406,27.734,26.322,-55.852,7.23e-06,122.463,1.64,0.1,6.8,0.0047,0.0,0.0,100.0,8.75,158.4,19.74,UAV
UE_001,1.8433,26.936,23.472,-57.154,4.55e-06,109.251,1.45,0.95,80.2,0.0061,0.0,0.0,100.0,7.8,237.6,11.26,UAV
UE_002,1.3734,33.514,29.822,-52.43,7.3e-06,138.713,1.43,0.27,117.9,0.0046,0.0,0.0,100.0,9.91,444.9,18.73,UAV
UE_003,1.1785,34.322,31.612,-54.627,1.321e-05,147.03,1.05,1.2,104.0,0.0039,0.0,0.0,100.0,10.5,470.8,14.4,UAV
UE_004,0.9513,32.175,28.973,-54.13,1.199e-05,134.77,1.75,1.11,-67.1,0.0032,0.0,0.0,100.0,9.63,168.0,19.41,UAV
UE_005,1.2685,32.243,28.505,-53.866,1.031e-05,132.597,1.57,1.4,-45.8,0.0042,0.0,0.0,100.0,9.47,378.8,14.01,UAV
UE_006,1.5917,27.907,25.596,-55.722,2.3e-06,119.097,1.52,2.41,28.7,0.0053,0.0,0.0,100.0,8.51,210.5,10.54,UAV
UE_007,0.7557,44.222,42.287,-49.681,5.47e-06,196.666,1.11,0.32,-69.5,0.0025,0.0,0.0,100.0,14.05,379.1,13.04,UAV
UE_008,0.5624,41.658,38.449,-48.547,7.28e-06,178.82,1.72,0.1,-68.7,0.0019,0.0,0.0,100.0,12.77,261.5,17.64,UAV
UE_009,1.3195,31.464,29.455,-56.358,1.87e-05,137.01,1.41,1.75,97.5,0.0044,0.0,0.0,100.0,9.79,488.5,12.26,UAV
UE_010,1.7934,24.609,21.288,-57.282,6.64e-06,99.153,1.9,0.77,6.5,0.006,0.0,0.0,100.0,7.08,284.2,14.43,UAV
UE_011,1.9983,24.258,20.462,-57.312,9.73e-06,95.342,1.56,0.1,-98.9,0.0067,0.0,0.0,100.0,6.81,462.8,13.05,UAV
UE_012,1.2738,26.647,23.24,-57.395,3.13e-06,108.176,1.2,1.2,106.6,0.0042,0.0,0.0,100.0,7.73,168.1,17.4,UAV
UE_013,1.7543,22.983,21.553,-58.811,1.05e-06,100.378,1.15,0.51,-66.6,0.0058,0.0,0.0,100.0,7.17,283.1,12.11,UAV
UE_014,2.0889,25.007,20.18,-56.977,1.633e-05,94.042,1.02,2.62,78.4,0.007,0.0,0.0,100.0,6.72,350.2,11.74,UAV
UE_015,2.0628,22.463,19.619,-59.111,5.58e-06,91.463,1.28,2.64,30.4,0.0069,0.0,0.0,100.0,6.53,285.2,14.51,UAV
UE_016,2.0982,24.82,21.833,-57.492,8.73e-06,101.669,1.65,2.79,75.5,0.007,0.0,0.0,100.0,7.26,259.8,12.31,UAV
UE_017,0.4721,48.855,45.261,-46.005,1.96e-05,210.495,1.83,0.79,-64.4,0.0016,0.0,0.0,100.0,15.04,317.1,14.54,UAV
UE_018,1.9378,26.483,24.667,-54.569,9.08e-06,114.786,1.61,0.26,-44.1,0.0065,0.0,0.0,100.0,8.2,223.2,17.88,UAV
UE_019,1.2575,32.694,28.339,-52.62,1.91e-05,131.827,1.5,0.1,-70.5,0.0042,0.0,0.0,100.0,9.42,420.7,19.34,UAV
UE_000,1.2623,29.41,29.287,-54.344,6.77e-06,136.227,1.75,0.92,5.7,0.0042,0.0,0.0,100.0,9.73,154.3,16.48,UAV
UE_001,1.7567,27.14,25.617,-55.73,2.32e-06,119.19,1.29,1.61,76.3,0.0059,0.0,0.0,100.0,8.51,244.9,10.71,UAV
UE_002,1.2016,35.095,30.626,-54.166,1.454e-05,142.449,1.27,2.8,110.1,0.004,0.0,0.0,100.0,10.17,417.9,17.49,UAV
UE_003,1.0981,34.522,32.8,-55.191,1.001e-05,152.555,1.64,0.26,81.2,0.0037,0.0,0.0,100.0,10.9,470.0,11.24,UAV
UE_004,0.94,31.467,28.514,-54.717,7.23e-06,132.637,1.45,0.48,-67.1,0.0031,0.0,0.0,100.0,9.47,196.3,19.43,UAV
UE_005,1.2189,31.148,27.684,-53.365,1.641e-05,128.784,1.4,0.35,-35.4,0.0041,0.0,0.0,100.0,9.2,385.3,10.8,UAV
UE_006,1.5561,27.579,24.83,-54.66,2.16e-06,115.544,1.09,0.59,36.0,0.0052,0.0,0.0,100.0,8.25,198.1,13.22,UAV
UE_007,0.609,43.483,41.636,-47.232,2.66e-06,193.639,1.52,0.41,-104.6,0.002,0.0,0.0,100.0,13.83,353.5,19.62,UAV
UE_008,0.3699,44.528,41.897,-48.701,7.86e-06,194.85,1.61,0.12,75.9,0.0012,0.0,0.0,100.0,13.92,150.3,19.51,UAV
UE_009,1.2057,30.7,30.144,-53.764,2.37e-06,140.212,1.69,0.34,100.9,0.004,0.0,0.0,100.0,10.02,487.5,12.7,UAV
UE_010,1.7362,28.383,25.457,-54.18,1.48e-05,118.449,1.84,1.59,6.6,0.0058,0.0,0.0,100.0,8.46,276.0,14.71,UAV
UE_011,2.0046,24.858,21.655,-57.852,1.765e-05,100.847,1.58,3.0,-89.6,0.0067,0.0,0.0,100.0,7.2,455.3,11.81,UAV
UE_012,1.3357,25.305,23.216,-58.652,7.7e-06,108.068,1.32,0.1,-91.4,0.0045,0.0,0.0,100.0,7.72,169.2,14.92,UAV
UE_013,1.6224,25.066,22.554,-56.72,3.91e-06,105.003,1.78,0.51,-73.3,0.0054,0.0,0.0,100.0,7.5,279.8,13.33,UAV
UE_014,2.1387,22.839,19.343,-59.111,8.93e-06,90.194,1.27,0.16,88.8,0.0071,0.0,0.0,100.0,6.44,423.2,13.3,UAV
UE_015,2.0046,22.729,20.538,-58.578,2.383e-05,95.692,1.51,0.94,40.7,0.0067,0.0,0.0,100.0,6.84,317.2,19.45,UAV
UE_016,1.9531,24.057,21.271,-58.084,3.21e-06,99.075,1.3,1.31,89.2,0.0065,0.0,0.0,100.0,7.08,251.0,14.55,UAV
UE_017,0.3609,48.669,45.248,-46.213,1.328e-05,210.438,1.47,0.53,-87.3,0.0012,0.0,0.0,100.0,15.03,324.2,19.7,UAV
UE_018,1.8631,23.244,22.61,-56.733,3.49e-06,105.265,1.5,0.1,-49.0,0.0062,0.0,0.0,100.0,7.52,244.1,19.88,UAV
UE_019,1.2393,34.335,30.347,-52.804,1.069e-05,141.152,1.33,0.61,-51.6,0.0041,0.0,0.0,100.0,10.08,423.3,14.13,UAV
UE_000,1.1155,29.779,26.824,-56.717,3.03e-06,124.792,1.69,0.25,6.0,0.0037,0.0,0.0,100.0,8.91,150.1,17.56,UAV
UE_001,1.6622,26.227,23.179,-57.948,7.54e-06,107.896,1.85,0.32,85.7,0.0055,0.0,0.0,100.0,7.71,253.0,12.04,UAV
UE_002,1.061,36.937,33.819,-51.539,1.58e-05,157.289,1.12,0.1,90.5,0.0035,0.0,0.0,100.0,11.23,395.7,14.38,UAV
UE_003,0.9723,38.726,37.741,-51.077,1.682e-05,175.523,1.22,0.11,142.5,0.0032,0.0,0.0,100.0,12.54,468.5,19.73,UAV
UE_004,0.9522,30.033,25.65,-54.057,2.009e-05,119.347,1.5,0.35,-40.0,0.0032,0.0,0.0,100.0,8.52,213.2,11.58,UAV
UE_005,1.1768,33.548,29.676,-53.587,3.38e-06,138.035,1.83,0.13,-35.8,0.0039,0.0,0.0,100.0,9.86,391.7,10.93,UAV
UE_006,1.5292,26.256,23.769,-57.464,9.64e-06,110.626,1.76,0.15,39.8,0.0051,0.0,0.0,100.0,7.9,184.3,14.61,UAV
UE_007,0.5195,40.855,38.54,-49.182,1.85e-06,179.24,1.46,1.6,-79.9,0.0017,0.0,0.0,100.0,12.8,333.9,14.98,UAV
UE_008,0.4953,40.159,36.914,-49.42,1.078e-05,171.68,1.89,2.12,-49.6,0.0017,0.0,0.0,100.0,12.26,222.9,12.73,UAV
UE_009,1.0969,37.182,36.802,-50.476,8.62e-06,171.159,1.35,0.17,98.9,0.0037,0.0,0.0,100.0,12.23,486.5,12.44,UAV
UE_010,1.6779,25.281,20.476,-58.987,1.48e-06,95.406,1.8,0.1,8.7,0.0056,0.0,0.0,100.0,6.81,265.4,19.22,UAV
UE_011,2.0285,22.491,19.289,-59.894,3.68e-06,89.942,1.72,0.52,-141.3,0.0068,0.0,0.0,100.0,6.42,443.5,18.64,UAV
UE_012,1.2766,27.822,25.87,-56.949,4.85e-06,120.364,1.47,0.1,86.7,0.0043,0.0,0.0,100.0,8.6,168.1,14.15,UAV
UE_013,1.4425,26.835,24.596,-55.476,8.72e-06,114.457,1.28,0.72,-100.1,0.0048,0.0,0.0,100.0,8.18,275.3,18.21,UAV
UE_014,2.2048,20.346,15.549,-59.25,0.00010203,72.869,1.46,1.42,106.0,0.0073,0.0,0.0,89.422,5.2,500.0,15.87,UAV
UE_015,1.9785,25.249,23.338,-56.888,1.68e-05,108.632,1.32,1.48,24.1,0.0066,0.0,0.0,100.0,7.76,336.0,11.49,UAV
UE_016,1.7983,26.33,22.918,-57.323,5.33e-06,106.689,1.42,0.14,95.1,0.006,0.0,0.0,100.0,7.62,241.6,15.52,UAV
UE_017,0.3341,51.259,48.294,-46.579,4.61e-06,224.599,1.63,1.68,-58.6,0.0011,0.0,0.0,100.0,16.04,328.9,13.22,UAV
UE_018,1.8172,27.534,25.126,-58.271,1.108e-05,116.917,1.71,0.5,-38.7,0.0061,0.0,0.0,100.0,8.35,260.6,15.72,UAV
UE_019,1.2361,34.657,30.814,-54.252,1.16e-06,143.322,1.64,1.84,-38.1,0.0041,0.0,0.0,100.0,10.24,425.2,10.44,UAV
UE_000,0.9742,32.392,28.181,-53.569,8.71e-06,131.09,1.6,0.1,6.2,0.0032,0.0,0.0,100.0,9.36,145.6,18.11,UAV
UE_001,1.5262,27.496,25.065,-57.127,5e-06,116.634,1.46,1.26,129.7,0.0051,0.0,0.0,100.0,8.33,265.4,18.21,UAV
UE_002,0.9603,36.222,34.492,-51.707,3.48e-06,160.421,1.54,0.13,65.3,0.0032,0.0,0.0,100.0,11.46,379.7,10.37,UAV
UE_003,0.8779,38.415,35.598,-49.283,5.02e-06,165.563,1.4,1.67,135.0,0.0029,0.0,0.0,100.0,11.83,467.1,18.7,UAV
UE_004,0.989,32.574,29.064,-53.983,1.079e-05,135.191,1.66,1.28,-52.7,0.0033,0.0,0.0,100.0,9.66,235.5,15.26,UAV
UE_005,1.1358,33.174,28.621,-52.449,1.074e-05,133.136,1.15,0.82,-46.1,0.0038,0.0,0.0,100.0,9.51,400.1,14.1,UAV
UE_006,1.5159,27.928,27.805,-56.81,1.345e-05,129.344,1.31,0.16,40.0,0.0051,0.0,0.0,100.0,9.24,170.5,14.69,UAV
UE_007,0.458,45.96,43.796,-47.911,2.425e-05,203.683,1.77,2.35,-90.2,0.0015,0.0,0.0,100.0,14.55,311.8,16.93,UAV
UE_008,0.3134,45.42,40.295,-44.844,2.29e-06,187.4,1.34,0.1,72.1,0.001,0.0,0.0,100.0,13.39,117.2,18.52,UAV
UE_009,0.9859,37.718,36.308,-50.924,5.42e-06,168.863,1.69,0.13,104.7,0.0033,0.0,0.0,100.0,12.06,485.5,13.17,UAV
UE_010,1.641,29.442,27.787,-53.686,6.11e-06,129.264,1.07,2.18,8.4,0.0055,0.0,0.0,100.0,9.23,255.0,18.72,UAV
UE_011,2.0066,24.736,21.517,-55.093,6.24e-06,100.212,1.91,0.41,123.6,0.0067,0.0,0.0,100.0,7.16,453.8,16.31,UAV
UE_012,1.3514,28.068,25.642,-56.978,1.755e-05,119.306,1.1,0.62,-107.1,0.0045,0.0,0.0,100.0,8.52,169.4,17.47,UAV
UE_013,1.2817,28.42,26.048,-54.52,9.18e-06,121.193,1.41,0.48,-89.8,0.0043,0.0,0.0,100.0,8.66,271.2,16.34,UAV
UE_014,2.1323,23.955,18.452,-58.268,3.73e-06,86.099,1.06,0.55,-113.1,0.0071,0.0,0.0,99.581,6.15,417.0,16.94,UAV
UE_015,1.9505,26.325,24.167,-55.757,1.945e-05,112.472,1.35,0.8,37.6,0.0065,0.0,0.0,100.0,8.03,365.5,17.96,UAV
UE_016,1.6841,25.99,21.884,-54.431,1.59e-06,101.906,1.52,0.1,70.2,0.0056,0.0,0.0,100.0,7.28,234.7,11.46,UAV
UE_017,0.3771,48.218,44.892,-46.006,2.55e-06,208.782,1.07,0.17,-79.4,0.0013,0.0,0.0,100.0,14.91,335.3,17.93,UAV
UE_018,1.7793,25.867,23.323,-57.78,2.06e-06,108.563,1.23,1.2,-46.1,0.0059,0.0,0.0,100.0,7.75,280.3,18.71,UAV
UE_019,1.253,35.045,29.385,-54.556,1.341e-05,136.686,1.42,0.66,-69.8,0.0042,0.0,0.0,100.0,9.76,428.7,19.13,UAV
UE_000,0.885,31.468,29.097,-55.673,8.78e-06,135.345,1.01,0.83,4.3,0.0029,0.0,0.0,100.0,9.67,142.6,12.54,UAV
UE_001,1.4018,27.445,24.375,-55.792,8.73e-06,113.434,1.62,0.86,128.6,0.0047,0.0,0.0,100.0,8.1,277.7,18.05,UAV
UE_002,0.8487,37.428,32.299,-51.81,5.89e-06,150.227,1.32,0.85,72.9,0.0028,0.0,0.0,100.0,10.73,361.8,11.58,UAV
UE_003,0.8228,40.089,37.859,-49.142,1.04e-05,176.076,1.39,1.55,114.7,0.0027,0.0,0.0,100.0,12.58,466.0,15.88,UAV
UE_004,1.035,30.081,28.24,-56.041,7.16e-06,131.366,1.19,0.28,-43.2,0.0035,0.0,0.0,100.0,9.38,253.7,12.5,UAV
UE_005,1.0703,31.826,29.591,-55.328,9.16e-06,137.641,1.22,0.38,-44.0,0.0036,0.0,0.0,100.0,9.83,388.1,13.85,UAV
UE_006,1.5174,24.964,23.57,-58.798,1.855e-05,109.706,1.9,0.64,42.8,0.0051,0.0,0.0,100.0,7.84,155.7,15.72,UAV
UE_007,0.4499,43.229,39.684,-47.414,1.31e-06,184.56,1.6,1.29,-69.0,0.0015,0.0,0.0,100.0,13.18,294.9,12.95,UAV
UE_008,0.4382,41.541,37.484,-48.922,1.81e-05,174.332,1.62,0.8,-49.6,0.0015,0.0,0.0,100.0,12.45,189.9,12.74,UAV
UE_009,0.8478,39.421,37.003,-51.578,2.01e-06,172.092,1.55,0.25,138.7,0.0028,0.0,0.0,100.0,12.29,484.1,17.45,UAV
UE_010,1.6264,26.99,23.012,-56.097,1.803e-05,107.121,1.27,0.84,6.7,0.0054,0.0,0.0,100.0,7.65,246.6,14.97,UAV
UE_011,2.0315,24.061,20.588,-56.349,1.67e-05,95.923,1.33,0.87,-136.3,0.0068,0.0,0.0,100.0,6.85,442.4,17.99,UAV
UE_012,1.2807,26.01,22.731,-57.62,1.26e-06,105.822,1.62,0.15,100.3,0.0043,0.0,0.0,100.0,7.56,168.2,16.37,UAV
UE_013,1.1131,29.468,26.666,-56.7,6.81e-06,124.061,1.76,0.39,-94.6,0.0037,0.0,0.0,100.0,8.86,266.9,17.21,UAV
UE_014,2.2018,22.681,17.329,-59.636,1.154e-05,80.961,1.6,0.67,108.7,0.0073,0.0,0.0,95.651,5.78,496.8,16.28,UAV
UE_015,1.9404,28.285,25.981,-55.762,2.79e-06,120.879,1.53,0.19,27.4,0.0065,0.0,0.0,100.0,8.63,387.0,13.09,UAV
UE_016,1.5115,26.47,23.592,-54.205,1.96e-06,109.805,1.28,0.33,106.2,0.005,0.0,0.0,100.0,7.84,224.3,17.32,UAV
UE_017,0.4836,44.703,40.945,-47.469,4.35e-06,190.427,1.12,0.55,-77.4,0.0016,0.0,0.0,100.0,13.6,341.6,17.47,UAV
UE_018,1.7625,25.058,24.87,-56.763,6.62e-06,115.73,1.49,1.29,-37.9,0.0059,0.0,0.0,100.0,8.27,296.5,15.39,UAV
UE_019,1.2982,31.023,28.952,-56.252,1.244e-05,134.673,1.24,0.1,-69.8,0.0043,0.0,0.0,100.0,9.62,432.2,19.13,UAV
UE_000,0.7732,33.043,31.664,-53.301,1.435e-05,147.271,1.73,1.65,6.3,0.0026,0.0,0.0,100.0,10.52,138.1,18.25,UAV
UE_001,1.294,29.908,27.526,-53.76,1.162e-05,128.052,1.11,1.51,124.4,0.0043,0.0,0.0,100.0,9.15,289.6,17.47,UAV
UE_002,0.6627,42.389,36.728,-48.376,3.08e-06,170.815,1.87,0.16,123.6,0.0022,0.0,0.0,100.0,12.2,331.5,19.63,UAV
UE_003,0.7947,42.144,40.278,-48.481,3.13e-06,187.324,1.89,2.83,134.4,0.0026,0.0,0.0,100.0,13.38,464.6,18.6,UAV
UE_004,1.1319,29.785,27.467,-55.079,1.3e-06,127.776,1.34,0.31,-68.0,0.0038,0.0,0.0,100.0,9.13,282.4,19.67,UAV
UE_005,1.0077,32.747,29.248,-54.669,1.378e-05,136.046,1.49,1.03,-56.9,0.0034,0.0,0.0,100.0,9.72,372.6,17.91,UAV
UE_006,1.5332,26.929,24.489,-55.089,2.97e-06,113.963,1.62,0.31,39.6,0.0051,0.0,0.0,100.0,8.14,142.0,14.55,UAV
UE_007,0.4889,46.437,43.72,-48.131,6.86e-06,203.331,1.85,0.1,-84.5,0.0016,0.0,0.0,100.0,14.52,274.2,15.85,UAV
UE_008,0.3295,44.687,41.752,-48.174,1.509e-05,194.178,1.02,0.52,43.1,0.0011,0.0,0.0,100.0,13.87,126.7,11.08,UAV
UE_009,0.7168,43.193,41.507,-50.085,1.859e-05,193.037,1.83,1.07,149.8,0.0024,0.0,0.0,100.0,13.79,482.6,18.84,UAV
UE_010,1.6247,26.075,22.794,-58.307,1.019e-05,106.112,1.75,0.28,5.5,0.0054,0.0,0.0,100.0,7.58,239.9,12.21,UAV
UE_011,2.0056,21.975,16.768,-60.083,7.83e-06,78.404,1.38,2.4,144.7,0.0067,0.0,0.0,93.688,5.6,454.5,19.09,UAV
